years,Objective,Costs,Damages,J,Y,M,I,Harvest,Redsnag,Greysnag,control
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,0.5
2021,190617.0,172726.0,17891.0,22960906.0,14435982.0,4212612.0,2424.0,404.0,404.0,0.0,0.5
2022,319980.0,264293.0,55687.0,22444158.0,14554679.0,4608707.0,3735.0,1212.0,1212.0,404.0,0.65
2023,581774.0,518526.0,63248.0,22040105.0,14585033.0,4979124.0,5519.0,2428.0,1307.0,1616.0,0.35
2024,474435.0,292973.0,181462.0,21428506.0,14823461.0,5347247.0,6178.0,1932.0,3587.0,2923.0,0.35
2025,566195.0,372664.0,193531.0,20839923.0,15026020.0,5727608.0,7872.0,2162.0,4016.0,6510.0,0.5
2026,889225.0,699357.0,189869.0,20399820.0,15185062.0,6001281.0,10121.0,3936.0,3936.0,10526.0,0.8
2027,1300729.0,1202848.0,97880.0,19902536.0,15324767.0,6349194.0,10721.0,8096.0,2024.0,14462.0,0.35
2028,884077.0,550735.0,333343.0,18019521.0,16722999.0,6823724.0,11891.0,3752.0,6968.0,16486.0,0.5
2029,1151505.0,873447.0,278058.0,17536969.0,16929918.0,7087934.0,13069.0,5946.0,5946.0,23454.0,0.35
2030,1097891.0,706408.0,391483.0,16866307.0,17292443.0,7383398.0,15480.0,4574.0,8495.0,29400.0,0.5
2031,1729596.0,1378002.0,351594.0,16310961.0,17548242.0,7667984.0,20592.0,7740.0,7740.0,37895.0,0.8
2032,2321723.0,2135565.0,186158.0,15681330.0,17996715.0,7828945.0,19761.0,16474.0,4118.0,45635.0,0.8
2033,2283146.0,2107360.0,175786.0,15090554.0,18297034.0,8100263.0,19732.0,15809.0,3952.0,49753.0,0.5
2034,1984096.0,1549646.0,434450.0,14442721.0,18682679.0,8343201.0,23876.0,9866.0,9866.0,53705.0,0.2
2035,1111306.0,278201.0,833104.0,13729775.0,19099147.0,8616285.0,11936.0,4775.0,19101.0,63571.0,0.2
2036,471094.0,65850.0,405243.0,13084472.0,19510504.0,8838768.0,3202.0,2387.0,9549.0,82672.0,0.35
2037,248398.0,173112.0,75287.0,12548687.0,19877650.0,9004741.0,4596.0,1121.0,2081.0,92221.0,0.8
2038,514443.0,479961.0,34482.0,11601256.0,20573856.0,9251887.0,5320.0,3677.0,919.0,94303.0,0.35
2039,381296.0,248745.0,132552.0,11089616.0,20849934.0,9482551.0,6620.0,1862.0,3458.0,95222.0,0.8
2040,627923.0,577422.0,50501.0,10429502.0,21320725.0,9665641.0,6541.0,5296.0,1324.0,98680.0,0.35
2041,416378.0,257758.0,158619.0,9741548.0,21813315.0,9854952.0,7025.0,2289.0,4251.0,100004.0,0.5
2042,650761.0,519526.0,131234.0,9149056.0,22169531.0,10084716.0,9627.0,3513.0,3513.0,104255.0,0.2
2043,313101.0,22728.0,290373.0,8570086.0,22451911.0,10372122.0,1255.0,1925.0,7701.0,107768.0,0.5
2044,164073.0,147664.0,16409.0,7952775.0,22843510.0,10596993.0,2927.0,628.0,628.0,115469.0,0.35
2045,187679.0,123810.0,63869.0,7215806.0,23360553.0,10814493.0,3632.0,1024.0,1903.0,116097.0,0.95
2046,202957.0,196728.0,6229.0,6599045.0,23731362.0,11057287.0,2127.0,3451.0,182.0,117999.0,0.8
2047,250571.0,237231.0,13339.0,6078577.0,24025353.0,11282156.0,2996.0,1702.0,425.0,118181.0,0.65
2048,350501.0,314697.0,35804.0,5477462.0,24373861.0,11532183.0,4909.0,1947.0,1048.0,118606.0,0.5
2049,463531.0,378171.0,85360.0,5006433.0,24580381.0,11792241.0,7743.0,2455.0,2455.0,119655.0,0.2
2050,294216.0,79192.0,215024.0,4470746.0,24816872.0,12084223.0,4476.0,1549.0,6195.0,122109.0,0.35
2051,248285.0,150931.0,97354.0,4076895.0,24928005.0,12362920.0,4750.0,1566.0,2909.0,128304.0,0.2
2052,197114.0,69102.0,128012.0,3629922.0,25016035.0,12717594.0,4028.0,950.0,3800.0,131213.0,0.5
2053,334520.0,268891.0,65629.0,3331938.0,25044277.0,12983812.0,5825.0,2014.0,2014.0,135013.0,0.65
2054,522226.0,452461.0,69764.0,2889306.0,25203560.0,13261787.0,7459.0,3786.0,2039.0,137027.0,0.2
2055,228269.0,26622.0,201646.0,2448891.0,25300050.0,13598814.0,1680.0,1492.0,5967.0,139066.0,0.95
2056,133293.0,130922.0,2371.0,2164771.0,25257420.0,13924335.0,1598.0,1596.0,84.0,145033.0,0.35
2057,109887.0,80594.0,29293.0,1846543.0,25308042.0,14190800.0,2759.0,559.0,1039.0,145117.0,0.65
2058,309100.0,279544.0,29556.0,1527763.0,25281273.0,14534168.0,4894.0,1793.0,966.0,146156.0,0.5
2059,361882.0,283299.0,78583.0,1229209.0,25304401.0,14805280.0,6541.0,2447.0,2447.0,147121.0,0.5
2060,534277.0,428520.0,105757.0,846380.0,25327179.0,15159334.0,9725.0,3271.0,3271.0,149568.0,0.5
2061,737322.0,576238.0,161083.0,626204.0,25247899.0,15449623.0,12988.0,4862.0,4862.0,152839.0,0.35
2062,818676.0,537668.0,281009.0,547321.0,25037074.0,15726937.0,17457.0,4546.0,8442.0,157701.0,0.65
