years,Objective,Costs,Damages,J,Y,M,I,Harvest,Redsnag,Greysnag,control
2039,228970.0,183619.0,45350.0,11089616.0,20962036.0,9501555.0,3183.0,1566.0,1281.0,21654.0,0.85
2040,297743.0,280908.0,16834.0,10429502.0,21434031.0,9686879.0,3139.0,2705.0,477.0,22935.0,0.55
2041,230621.0,182394.0,48227.0,9741548.0,21928039.0,9878174.0,3238.0,1727.0,1413.0,23413.0,0.65
2042,301102.0,261958.0,39143.0,9149056.0,22285983.0,10109990.0,3893.0,2105.0,1133.0,24825.0,0.45
2043,129521.0,53767.0,75755.0,8570086.0,22571078.0,10400416.0,1255.0,1752.0,2141.0,25959.0,0.65
2044,169912.0,158426.0,11487.0,7952775.0,22960612.0,10627352.0,2419.0,816.0,439.0,28100.0,0.55
2045,175676.0,140118.0,35557.0,7215806.0,23476099.0,10846915.0,2608.0,1330.0,1088.0,28539.0,0.95
2046,175682.0,171384.0,4298.0,6599045.0,23845213.0,11092427.0,1862.0,2478.0,130.0,29628.0,0.85
2047,210821.0,202309.0,8512.0,6078577.0,24137762.0,11319004.0,2414.0,1582.0,279.0,29758.0,0.75
2048,267040.0,246916.0,20124.0,5477462.0,24484580.0,11571304.0,3375.0,1810.0,603.0,30037.0,0.65
2049,314971.0,275032.0,39939.0,5006433.0,24689832.0,11834163.0,4426.0,2194.0,1181.0,30641.0,0.45
2050,179107.0,98003.0,81104.0,4470746.0,24927115.0,12128670.0,2448.0,1992.0,2435.0,31822.0,0.55
2051,157448.0,123079.0,34369.0,4076895.0,25037388.0,12410255.0,2489.0,1346.0,1101.0,34257.0,0.45
2052,129833.0,86507.0,43327.0,3629922.0,25124145.0,12768461.0,2221.0,1120.0,1369.0,35358.0,0.65
2053,197257.0,174031.0,23226.0,3331938.0,25151524.0,13037347.0,2957.0,1444.0,777.0,36727.0,0.75
2054,259389.0,235425.0,23964.0,2889306.0,25311258.0,13317738.0,3501.0,2218.0,739.0,37505.0,0.45
2055,111763.0,51104.0,60659.0,2448891.0,25408253.0,13658218.0,1372.0,1576.0,1926.0,38244.0,0.95
2056,126643.0,124824.0,1818.0,2164771.0,25363067.0,13986604.0,1520.0,1303.0,69.0,40169.0,0.55
2057,124769.0,105734.0,19034.0,1846543.0,25411497.0,14255337.0,2272.0,836.0,684.0,40238.0,0.75
2058,236068.0,219206.0,16861.0,1527763.0,25381755.0,14602165.0,3382.0,1704.0,568.0,40922.0,0.65
2059,244538.0,207945.0,36593.0,1229209.0,25403876.0,14875795.0,3785.0,2199.0,1184.0,41490.0,0.65
2060,297357.0,256586.0,40770.0,846380.0,25425814.0,15233444.0,4639.0,2460.0,1325.0,42674.0,0.65
2061,331522.0,280069.0,51452.0,626204.0,25348646.0,15526705.0,5105.0,3015.0,1624.0,43999.0,0.55
2062,323700.0,250935.0,72765.0,547321.0,25142327.0,15807396.0,5477.0,2807.0,2297.0,45623.0,0.75
2063,396869.0,353353.0,43516.0,431669.0,24863474.0,16197008.0,5619.0,4108.0,1369.0,47920.0,0.75
2064,432891.0,388390.0,44501.0,314873.0,24651798.0,16520450.0,6203.0,4214.0,1405.0,49289.0,0.85
2065,388744.0,359308.0,29436.0,263665.0,24452299.0,16765618.0,5172.0,5273.0,931.0,50693.0,0.45
2066,193792.0,106121.0,87670.0,205987.0,24246949.0,17024102.0,3163.0,2327.0,2845.0,51624.0,0.45
2067,85375.0,36479.0,48896.0,179049.0,23980237.0,17315345.0,1151.0,1424.0,1740.0,54469.0,0.45
2068,51832.0,38006.0,13826.0,135751.0,23625553.0,17712767.0,1237.0,518.0,633.0,56208.0,0.45
2069,61542.0,47224.0,14318.0,85850.0,23323813.0,18063828.0,1541.0,557.0,681.0,56841.0,0.65
2070,135758.0,124005.0,11753.0,54515.0,23061918.0,18356250.0,2615.0,1002.0,539.0,57522.0,0.75
2071,188949.0,171937.0,17012.0,24746.0,22814191.0,18631839.0,3140.0,1961.0,654.0,58061.0,0.55
2072,141643.0,103760.0,37883.0,19162.0,22519658.0,18929527.0,2677.0,1727.0,1413.0,58715.0,0.75
2073,188547.0,170637.0,17910.0,16360.0,22235039.0,19214956.0,3168.0,2008.0,669.0,60128.0,0.85
2074,182534.0,169548.0,12986.0,7625.0,21924630.0,19531647.0,2845.0,2693.0,475.0,60797.0,0.85
2075,177702.0,166525.0,11177.0,2559.0,21612579.0,19846676.0,2834.0,2419.0,427.0,61273.0,0.55
2076,150127.0,117358.0,32769.0,1749.0,21371512.0,20086536.0,3063.0,1559.0,1275.0,61700.0,0.55
2077,163289.0,124452.0,38837.0,539.0,21095116.0,20361674.0,3298.0,1685.0,1378.0,62975.0,0.95
2078,125235.0,120667.0,4567.0,183.0,20809067.0,20645526.0,1981.0,3133.0,165.0,64353.0,0.55
2079,101821.0,81748.0,20074.0,0.0,20527093.0,20926514.0,2318.0,1089.0,891.0,64518.0,0.55
2080,120054.0,94638.0,25416.0,0.0,20268549.0,21183541.0,2698.0,1275.0,1043.0,65409.0,0.65
2081,138455.0,115363.0,23092.0,0.0,19995800.0,21454438.0,2709.0,1754.0,944.0,66452.0,0.75
2082,192086.0,174320.0,17766.0,0.0,19526941.0,21921314.0,3506.0,2032.0,677.0,67397.0,0.55
2083,162222.0,120289.0,41932.0,0.0,19152787.0,22292843.0,3428.0,1928.0,1578.0,68074.0,0.55
2084,169081.0,129179.0,39902.0,0.0,18597991.0,22845114.0,3672.0,1886.0,1543.0,69652.0,0.65
2085,219830.0,185897.0,33933.0,0.0,18062549.0,23377765.0,4322.0,2387.0,1285.0,71195.0,0.65
2086,222704.0,179973.0,42732.0,0.0,17645134.0,23791664.0,4234.0,2809.0,1513.0,72480.0,0.65
2087,217593.0,176008.0,41585.0,0.0,17201121.0,24232213.0,4224.0,2752.0,1482.0,73993.0,0.55
2088,187579.0,135679.0,51899.0,0.0,15421440.0,26008499.0,4023.0,2323.0,1901.0,75475.0,0.65
2089,222249.0,186132.0,36117.0,0.0,14984058.0,26442839.0,4584.0,2615.0,1408.0,77376.0,0.55
2090,169511.0,115205.0,54306.0,0.0,14347643.0,27075582.0,3538.0,2521.0,2063.0,78783.0,0.65
2091,157885.0,127207.0,30678.0,0.0,13843909.0,27576676.0,3312.0,2300.0,1238.0,80846.0,0.75
2092,187542.0,167128.0,20415.0,0.0,13295151.0,28122988.0,3796.0,2484.0,828.0,82084.0,0.75
2093,180948.0,158158.0,22790.0,0.0,12791426.0,28623915.0,3612.0,2847.0,949.0,82912.0,0.75
2094,210877.0,188960.0,21917.0,0.0,12214187.0,29198461.0,4337.0,2709.0,903.0,83861.0,0.55
2095,144668.0,97791.0,46877.0,0.0,11558963.0,29850406.0,3263.0,2385.0,1952.0,84764.0,0.45
2096,87324.0,47090.0,40234.0,0.0,10998955.0,30408128.0,2202.0,1468.0,1795.0,86716.0,0.65
2097,86021.0,72774.0,13247.0,0.0,10508761.0,30897167.0,2258.0,1432.0,771.0,88511.0,0.85
2098,103907.0,97632.0,6275.0,0.0,9715006.0,31689643.0,2343.0,1919.0,339.0,89281.0,0.65
2099,99164.0,84674.0,14489.0,0.0,9282053.0,32121333.0,2672.0,1523.0,820.0,89620.0,0.75
2100,124986.0,112848.0,12138.0,0.0,8753432.0,32648357.0,2996.0,2004.0,668.0,90440.0,0.75
2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,0.45
2021,146939.0,116201.0,30738.0,22960906.0,14435982.0,4212612.0,1647.0,363.0,444.0,0.0,0.65
2022,306817.0,271539.0,35278.0,22444158.0,14555419.0,4608743.0,2559.0,1071.0,577.0,444.0,0.45
2023,249646.0,153766.0,95879.0,22040105.0,14586901.0,4979210.0,2186.0,1151.0,1407.0,1020.0,0.65
2024,399968.0,348775.0,51193.0,21428506.0,14828444.0,5347550.0,3410.0,1421.0,765.0,2428.0,0.75
2025,545321.0,489097.0,56224.0,20839923.0,15033524.0,5728158.0,4120.0,2558.0,853.0,3193.0,0.85
2026,576034.0,534450.0,41584.0,20399820.0,15196006.0,6002143.0,4019.0,3502.0,618.0,4045.0,0.55
2027,361876.0,241586.0,120291.0,19902536.0,15341270.0,6350597.0,2998.0,2211.0,1809.0,4663.0,0.75
2028,437895.0,391159.0,46736.0,18019521.0,16746159.0,6826193.0,3495.0,2249.0,750.0,6472.0,0.65
2029,536204.0,458947.0,77257.0,17536969.0,16960736.0,7091141.0,4731.0,2272.0,1223.0,7222.0,0.75
2030,656875.0,580704.0,76170.0,16866307.0,17330727.0,7387477.0,5241.0,3548.0,1183.0,8445.0,0.65
2031,753529.0,638041.0,115488.0,16310961.0,17595585.0,7673243.0,6593.0,3407.0,1834.0,9628.0,0.45
2032,382275.0,147035.0,235239.0,15681330.0,18057191.0,7835071.0,2496.0,2967.0,3626.0,11462.0,0.55
2033,298391.0,237657.0,60734.0,15090554.0,18373039.0,8108114.0,3183.0,1373.0,1123.0,15088.0,0.85
2034,430425.0,402714.0,27711.0,14442721.0,18773307.0,8352976.0,3446.0,2706.0,477.0,16212.0,0.55
2035,307781.0,218134.0,89647.0,13729775.0,19208286.0,8627977.0,2995.0,1895.0,1551.0,16689.0,0.85
2036,388953.0,363263.0,25689.0,13084472.0,19626830.0,8852214.0,3235.0,2546.0,449.0,18240.0,0.75
2037,434992.0,390510.0,44482.0,12548687.0,19992150.0,9019979.0,3941.0,2426.0,809.0,18689.0,0.45
2038,259287.0,136793.0,122494.0,11601256.0,20686408.0,9269727.0,2439.0,1773.0,2168.0,19498.0,0.65
2039,300623.0,254239.0,46384.0,11089616.0,20963229.0,9502528.0,3078.0,1586.0,854.0,21665.0,0.65
2040,346772.0,287524.0,59249.0,10429502.0,21435286.0,9687895.0,3525.0,2001.0,1077.0,22519.0,0.65
2041,422977.0,356179.0,66798.0,9741548.0,21928872.0,9879226.0,4326.0,2291.0,1234.0,23596.0,0.85
2042,467124.0,431074.0,36051.0,9149056.0,22285705.0,10111067.0,4011.0,3677.0,649.0,24830.0,0.45
2043,184814.0,62752.0,122062.0,8570086.0,22570656.0,10401519.0,1255.0,1805.0,2206.0,25479.0,0.75
2044,206144.0,193324.0,12821.0,7952775.0,22960159.0,10628485.0,2146.0,941.0,314.0,27685.0,0.75
2045,312690.0,285857.0,26834.0,7215806.0,23475902.0,10848065.0,3140.0,1610.0,537.0,27999.0,0.55
2046,271199.0,196527.0,74672.0,6599045.0,23844494.0,11093568.0,3055.0,1727.0,1413.0,28535.0,0.45
2047,154458.0,66935.0,87523.0,6078577.0,24135869.0,11320125.0,1312.0,1375.0,1680.0,29948.0,0.65
2048,210862.0,189538.0,21324.0,5477462.0,24483786.0,11572427.0,2493.0,853.0,459.0,31628.0,0.55
2049,254214.0,197004.0,57210.0,5006433.0,24689940.0,11835268.0,3172.0,1371.0,1122.0,32088.0,0.65
2050,323294.0,267805.0,55489.0,4470746.0,24928448.0,12129803.0,3629.0,2062.0,1110.0,33210.0,0.65
2051,399332.0,334427.0,64905.0,4076895.0,25037518.0,12411409.0,4506.0,2359.0,1270.0,34320.0,0.55
2052,418373.0,312516.0,105857.0,3629922.0,25122239.0,12769636.0,5057.0,2478.0,2028.0,35590.0,0.75
2053,578968.0,513407.0,65560.0,3331938.0,25146871.0,13038434.0,5941.0,3792.0,1264.0,37617.0,0.45
2054,322214.0,147777.0,174437.0,2889306.0,25303728.0,13318719.0,3135.0,2674.0,3268.0,38882.0,0.85
2055,339445.0,316693.0,22752.0,2448891.0,25401294.0,13658995.0,3408.0,2664.0,470.0,42149.0,0.55
2056,246738.0,169559.0,77179.0,2164771.0,25354272.0,13987179.0,2932.0,1874.0,1534.0,42619.0,0.55
2057,231583.0,166387.0,65196.0,1846543.0,25401477.0,14255727.0,2919.0,1612.0,1319.0,44153.0,0.45
2058,162243.0,84570.0,77673.0,1527763.0,25371347.0,14602295.0,1937.0,1314.0,1606.0,45472.0,0.45
2059,99072.0,52714.0,46357.0,1229209.0,25395041.0,14875799.0,1275.0,871.0,1065.0,47078.0,0.45
2060,91927.0,66265.0,25662.0,846380.0,25419577.0,15233359.0,1562.0,574.0,702.0,48143.0,0.45
2061,84710.0,49710.0,35000.0,626204.0,25345552.0,15526555.0,1232.0,703.0,859.0,48845.0,0.85
2062,149819.0,143211.0,6607.0,547321.0,25142924.0,15807428.0,1759.0,1047.0,185.0,49704.0,0.45
2063,87554.0,47883.0,39671.0,431669.0,24867584.0,16197239.0,1198.0,791.0,967.0,49888.0,0.65
2064,141186.0,126006.0,15180.0,314873.0,24660056.0,16520954.0,2049.0,779.0,419.0,50856.0,0.75
2065,214818.0,193223.0,21595.0,263665.0,24464371.0,16766464.0,2692.0,1536.0,512.0,51275.0,0.65
2066,274412.0,232989.0,41423.0,205987.0,24261163.0,17025287.0,3731.0,1749.0,942.0,51787.0,0.85
2067,299101.0,273646.0,25455.0,179049.0,23993447.0,17316965.0,3326.0,3171.0,560.0,52729.0,0.55
2068,215131.0,145605.0,69526.0,135751.0,23636195.0,17714782.0,2889.0,1829.0,1497.0,53289.0,0.45
2069,118520.0,48104.0,70416.0,85850.0,23332530.0,18066120.0,1346.0,1300.0,1589.0,54785.0,0.45
2070,86837.0,63725.0,23112.0,54515.0,23070605.0,18358767.0,1739.0,606.0,740.0,56374.0,0.65
2071,158758.0,137493.0,21264.0,24746.0,22823457.0,18634654.0,2458.0,1131.0,609.0,57115.0,0.65
2072,190891.0,157130.0,33761.0,19162.0,22529343.0,18932604.0,2748.0,1597.0,860.0,57723.0,0.55
2073,159444.0,107466.0,51978.0,16360.0,22244317.0,19218371.0,2335.0,1511.0,1237.0,58584.0,0.45
2074,88150.0,37221.0,50928.0,7625.0,21934459.0,19535344.0,1179.0,1051.0,1284.0,59820.0,0.45
2075,72741.0,55831.0,16910.0,2559.0,21623730.0,19850718.0,1650.0,531.0,649.0,61105.0,0.45
2076,64014.0,34926.0,29088.0,1749.0,21383477.0,20090948.0,1059.0,742.0,907.0,61753.0,0.55
2077,78505.0,64198.0,14307.0,539.0,21108636.0,20366535.0,1539.0,582.0,477.0,62660.0,0.45
2078,73594.0,45363.0,28231.0,183.0,20823865.0,20650867.0,1446.0,692.0,846.0,63137.0,0.45
2079,67902.0,44972.0,22930.0,0.0,20541718.0,20932562.0,1431.0,651.0,795.0,63983.0,0.55
2080,105400.0,86688.0,18712.0,0.0,20283653.0,21189995.0,2114.0,787.0,644.0,64779.0,0.45
2081,100324.0,61088.0,39236.0,0.0,20011021.0,21461359.0,1826.0,951.0,1162.0,65422.0,0.45
2082,79603.0,44118.0,35485.0,0.0,19542575.0,21928706.0,1497.0,822.0,1004.0,66585.0,0.65
2083,127328.0,113203.0,14125.0,0.0,19169902.0,22300763.0,2357.0,973.0,524.0,67589.0,0.45
2084,94747.0,50370.0,44377.0,0.0,18615500.0,22853715.0,1699.0,1061.0,1296.0,68113.0,0.95
2085,101524.0,99090.0,2434.0,0.0,18081363.0,23387035.0,1514.0,1614.0,85.0,69410.0,0.45
2086,54689.0,29814.0,24875.0,0.0,17666140.0,23801549.0,1124.0,681.0,833.0,69494.0,0.65
2087,86706.0,78049.0,8656.0,0.0,17224395.0,24242940.0,1784.0,731.0,393.0,70327.0,0.45
2088,72511.0,43298.0,29213.0,0.0,15444600.0,26021776.0,1590.0,803.0,981.0,70721.0,0.45
2089,70388.0,48228.0,22160.0,0.0,15008816.0,26456951.0,1733.0,715.0,874.0,71702.0,0.45
2090,55898.0,30056.0,25842.0,0.0,14374066.0,27090871.0,1221.0,780.0,953.0,72576.0,0.45
2091,42590.0,29164.0,13426.0,0.0,13871468.0,27593144.0,1176.0,549.0,672.0,73529.0,0.45
2092,49588.0,36213.0,13375.0,0.0,13323380.0,28140921.0,1472.0,529.0,647.0,74201.0,0.75
2093,98623.0,90891.0,7732.0,0.0,12820848.0,28642976.0,1918.0,1104.0,368.0,74848.0,0.65
2094,127239.0,108135.0,19104.0,0.0,12243996.0,29218827.0,2592.0,1247.0,671.0,75216.0,0.65
2095,141473.0,114071.0,27402.0,0.0,11589085.0,29872205.0,2690.0,1685.0,907.0,75887.0,0.65
2096,145169.0,115246.0,29924.0,0.0,11028390.0,30431191.0,2809.0,1748.0,941.0,76794.0,0.45
2097,72239.0,25511.0,46728.0,0.0,10536426.0,30921395.0,1223.0,1264.0,1545.0,77736.0,0.45
2098,36150.0,25856.0,10294.0,0.0,9741262.0,31716314.0,1287.0,550.0,673.0,79281.0,0.65
2099,69080.0,62716.0,6364.0,0.0,9308305.0,32149062.0,1854.0,837.0,450.0,79953.0,0.45
2100,42656.0,21611.0,21045.0,0.0,8779341.0,32677242.0,1187.0,834.0,1019.0,80404.0,0.55
2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,0.85
2021,422770.0,402775.0,19995.0,22960906.0,14435982.0,4212612.0,1813.0,686.0,121.0,0.0,0.55
2022,420142.0,295293.0,124849.0,22444158.0,14555262.0,4608736.0,2094.0,997.0,816.0,121.0,0.75
2023,642182.0,560726.0,81456.0,22040105.0,14587199.0,4979210.0,2774.0,1571.0,524.0,937.0,0.65
2024,732591.0,569748.0,162843.0,21428506.0,14828172.0,5347533.0,3414.0,1803.0,971.0,1460.0,0.55
2025,761564.0,518419.0,243145.0,20839923.0,15033255.0,5728132.0,3713.0,1878.0,1536.0,2431.0,0.75
2026,963011.0,816074.0,146936.0,20399820.0,15196147.0,6002113.0,4244.0,2785.0,928.0,3968.0,0.55
2027,972465.0,667776.0,304690.0,19902536.0,15341201.0,6350554.0,4782.0,2334.0,1910.0,4896.0,0.75
2028,1202685.0,1011084.0,191601.0,18019521.0,16744381.0,6826075.0,5300.0,3586.0,1195.0,6806.0,0.65
2029,1183258.0,887825.0,295433.0,17536969.0,16957219.0,7090957.0,5461.0,3445.0,1855.0,8001.0,0.65
2030,1297454.0,996515.0,300939.0,16866307.0,17326551.0,7387222.0,6228.0,3550.0,1911.0,9856.0,0.65
2031,1239435.0,903190.0,336244.0,16310961.0,17590544.0,7672866.0,5669.0,4048.0,2180.0,11768.0,0.75
2032,1376860.0,1157559.0,219301.0,15681330.0,18053110.0,7834657.0,6397.0,4252.0,1417.0,13948.0,0.55
2033,956294.0,522080.0,434214.0,15090554.0,18365206.0,8107553.0,4133.0,3518.0,2879.0,15365.0,0.55
2034,684744.0,414989.0,269755.0,14442721.0,18764715.0,8352225.0,3396.0,2273.0,1860.0,18243.0,0.85
2035,780580.0,709675.0,70905.0,13729775.0,19199891.0,8627078.0,3705.0,2887.0,509.0,20103.0,0.75
2036,830110.0,700227.0,129883.0,13084472.0,19617833.0,8851207.0,4235.0,2779.0,926.0,20612.0,0.65
2037,919345.0,716123.0,203222.0,12548687.0,19982322.0,9018804.0,4990.0,2752.0,1482.0,21539.0,0.45
2038,634537.0,253470.0,381067.0,11601256.0,20675740.0,9268340.0,2704.0,2246.0,2745.0,23021.0,0.75
2039,607069.0,517905.0,89164.0,11089616.0,20952496.0,9500943.0,3264.0,2028.0,676.0,25765.0,0.65
2040,647367.0,496096.0,151271.0,10429502.0,21424541.0,9686135.0,3677.0,2122.0,1142.0,26441.0,0.85
2041,752839.0,681106.0,71733.0,9741548.0,21918144.0,9877296.0,3823.0,3126.0,552.0,27584.0,0.85
2042,716309.0,641081.0,75228.0,9149056.0,22275639.0,10108978.0,3627.0,3249.0,573.0,28135.0,0.45
2043,360554.0,99358.0,261196.0,8570086.0,22561251.0,10399152.0,1279.0,1632.0,1995.0,28709.0,0.85
2044,350627.0,331783.0,18845.0,7952775.0,22950889.0,10625961.0,2013.0,1087.0,192.0,30704.0,0.45
2045,306923.0,176515.0,130408.0,7215806.0,23466942.0,10845364.0,2077.0,906.0,1107.0,30895.0,0.55
2046,398782.0,288309.0,110472.0,6599045.0,23836787.0,11090677.0,2718.0,1142.0,935.0,32002.0,0.75
2047,640739.0,557814.0,82925.0,6078577.0,24128615.0,11317119.0,3682.0,2038.0,679.0,32937.0,0.45
2048,528316.0,266039.0,262277.0,5477462.0,24474352.0,11569231.0,3066.0,1657.0,2025.0,33617.0,0.45
2049,313712.0,102795.0,210917.0,5006433.0,24680154.0,11831849.0,1368.0,1380.0,1686.0,35642.0,0.55
2050,257251.0,197144.0,60107.0,4470746.0,24920655.0,12126196.0,1992.0,752.0,616.0,37328.0,0.45
2051,207567.0,84786.0,122781.0,4076895.0,25031565.0,12407599.0,1133.0,897.0,1096.0,37944.0,0.45
2052,149714.0,88102.0,61612.0,3629922.0,25119792.0,12765692.0,1240.0,510.0,623.0,39039.0,0.55
2053,221026.0,169601.0,51426.0,3331938.0,25148280.0,13034448.0,1753.0,682.0,558.0,39663.0,0.65
2054,350913.0,283014.0,67899.0,2889306.0,25309252.0,13314807.0,2483.0,1139.0,613.0,40220.0,0.45
2055,258696.0,107496.0,151200.0,2448891.0,25407270.0,13655282.0,1466.0,1117.0,1366.0,40834.0,0.55
2056,266533.0,199837.0,66696.0,2164771.0,25362056.0,13983601.0,2090.0,806.0,660.0,42200.0,0.45
2057,224807.0,96335.0,128473.0,1846543.0,25409965.0,14252285.0,1342.0,941.0,1150.0,42859.0,0.55
2058,234009.0,175319.0,58690.0,1527763.0,25381232.0,14599034.0,1933.0,738.0,604.0,44009.0,0.55
2059,295171.0,204651.0,90520.0,1229209.0,25404815.0,14872653.0,2261.0,1063.0,870.0,44613.0,0.75
2060,436819.0,377312.0,59507.0,846380.0,25428289.0,15230289.0,2921.0,1696.0,565.0,45483.0,0.45
2061,258466.0,78670.0,179796.0,626204.0,25352735.0,15523654.0,1222.0,1314.0,1606.0,46048.0,0.45
2062,123473.0,66370.0,57103.0,547321.0,25150041.0,15804603.0,1083.0,550.0,672.0,47654.0,0.45
2063,124210.0,77126.0,47084.0,431669.0,24875205.0,16194586.0,1198.0,487.0,596.0,48327.0,0.45
2064,131584.0,74681.0,56904.0,314873.0,24667497.0,16518481.0,1212.0,539.0,659.0,48922.0,0.45
2065,132257.0,78192.0,54065.0,263665.0,24472488.0,16764151.0,1293.0,545.0,667.0,49581.0,0.45
2066,175786.0,119118.0,56669.0,205987.0,24270492.0,17023160.0,1852.0,582.0,711.0,50248.0,0.45
2067,160899.0,69643.0,91256.0,179049.0,24004455.0,17315039.0,1148.0,833.0,1019.0,50959.0,0.45
2068,119178.0,67840.0,51337.0,135751.0,23648998.0,17713237.0,1177.0,517.0,631.0,51977.0,0.45
2069,125516.0,76442.0,49074.0,85850.0,23346586.0,18065029.0,1346.0,530.0,647.0,52609.0,0.45
2070,131301.0,76162.0,55139.0,54515.0,23084180.0,18358157.0,1372.0,606.0,740.0,53256.0,0.55
2071,217917.0,173178.0,44738.0,24746.0,22836962.0,18634481.0,2222.0,755.0,617.0,53997.0,0.45
2072,181056.0,70207.0,110849.0,19162.0,22542744.0,18932771.0,1262.0,1000.0,1222.0,54614.0,0.45
2073,112003.0,60503.0,51500.0,16360.0,22258846.0,19218893.0,1165.0,568.0,694.0,55836.0,0.45
2074,99859.0,56793.0,43067.0,7625.0,21949754.0,19536270.0,1163.0,524.0,641.0,56530.0,0.45
2075,126509.0,87268.0,39241.0,2559.0,21638616.0,19852070.0,1593.0,523.0,640.0,57171.0,0.45
2076,122058.0,56369.0,65689.0,1749.0,21398115.0,20092599.0,1059.0,717.0,876.0,57811.0,0.45
2077,99927.0,58206.0,41721.0,539.0,21122859.0,20368601.0,1166.0,477.0,582.0,58687.0,0.45
2078,99296.0,57426.0,41871.0,183.0,20837958.0,20653435.0,1230.0,525.0,641.0,59269.0,0.45
2079,102319.0,62277.0,40042.0,0.0,20555458.0,20935700.0,1286.0,554.0,676.0,59911.0,0.45
2080,100485.0,55823.0,44662.0,0.0,20297109.0,21193560.0,1256.0,579.0,707.0,60587.0,0.45
2081,92587.0,54144.0,38444.0,0.0,20025182.0,21465078.0,1150.0,565.0,691.0,61295.0,0.45
2082,93565.0,54530.0,39035.0,0.0,19557229.0,21932607.0,1268.0,518.0,632.0,61985.0,0.45
2083,93666.0,56276.0,37390.0,0.0,19184624.0,22304825.0,1311.0,571.0,697.0,62618.0,0.45
2084,90222.0,51245.0,38978.0,0.0,18631151.0,22857883.0,1261.0,590.0,721.0,63315.0,0.45
2085,84853.0,50361.0,34493.0,0.0,18097027.0,23391629.0,1158.0,567.0,694.0,64036.0,0.45
2086,82384.0,46518.0,35866.0,0.0,17681971.0,23806331.0,1124.0,521.0,637.0,64730.0,0.45
2087,77250.0,44769.0,32481.0,0.0,17239962.0,24247987.0,1173.0,506.0,618.0,65367.0,0.45
2088,77063.0,47142.0,29921.0,0.0,15459151.0,26028449.0,1251.0,528.0,645.0,65985.0,0.45
2089,76524.0,45034.0,31489.0,0.0,15023316.0,26464015.0,1217.0,563.0,688.0,66630.0,0.45
2090,76551.0,46549.0,30003.0,0.0,14388338.0,27098678.0,1221.0,548.0,669.0,67318.0,0.45
2091,77657.0,45592.0,32065.0,0.0,13885173.0,27601518.0,1176.0,549.0,672.0,67987.0,0.45
2092,80742.0,48802.0,31940.0,0.0,13336625.0,28149756.0,1345.0,529.0,647.0,68659.0,0.45
2093,71437.0,38463.0,32974.0,0.0,12833651.0,28652379.0,1147.0,605.0,740.0,69306.0,0.45
2094,67246.0,42292.0,24954.0,0.0,12257064.0,29228735.0,1312.0,516.0,631.0,70046.0,0.45
