years,Objective,Costs,Damages,J,Y,M,I,Harvest,Redsnag,Greysnag,control
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,0.65
2021,203942.0,191419.0,12524.0,22960906.0,14435982.0,4212612.0,2085.0,525.0,282.0,0.0,0.65
2022,280104.0,248286.0,31818.0,22444158.0,14555002.0,4608723.0,2756.0,1355.0,730.0,282.0,0.75
2023,395992.0,364835.0,31157.0,22040105.0,14586302.0,4979173.0,3486.0,2067.0,689.0,1012.0,0.55
2024,323074.0,248879.0,74195.0,21428506.0,14826628.0,5347431.0,3461.0,1917.0,1569.0,1701.0,0.55
2025,337558.0,270331.0,67228.0,20839923.0,15031715.0,5727980.0,3804.0,1903.0,1557.0,3270.0,0.65
2026,411414.0,354137.0,57277.0,20399820.0,15194575.0,6001902.0,4213.0,2473.0,1331.0,4827.0,0.85
2027,481145.0,453929.0,27216.0,19902536.0,15339704.0,6350298.0,4140.0,3581.0,632.0,6159.0,0.55
2028,359383.0,280365.0,79018.0,18019521.0,16743590.0,6825754.0,4112.0,2277.0,1863.0,6791.0,0.65
2029,381134.0,321132.0,60002.0,17536969.0,16957622.0,7090631.0,4019.0,2673.0,1439.0,8654.0,0.55
2030,355251.0,281124.0,74127.0,16866307.0,17328389.0,7386903.0,4280.0,2210.0,1809.0,10093.0,0.65
2031,448939.0,389632.0,59306.0,16310961.0,17594259.0,7672617.0,4932.0,2782.0,1498.0,11902.0,0.85
2032,503875.0,473618.0,30258.0,15681330.0,18057531.0,7834440.0,4653.0,4192.0,740.0,13400.0,0.85
2033,470781.0,443566.0,27215.0,15090554.0,18371242.0,8107465.0,4411.0,3955.0,698.0,14140.0,0.65
2034,422006.0,361750.0,60255.0,14442721.0,18770368.0,8352242.0,4813.0,2867.0,1544.0,14838.0,0.45
2035,235555.0,133013.0,102542.0,13729775.0,19204041.0,8627181.0,2724.0,2166.0,2647.0,16381.0,0.45
2036,132117.0,77379.0,54737.0,13084472.0,19622901.0,8851372.0,1677.0,1226.0,1498.0,19028.0,0.55
2037,166966.0,144944.0,22022.0,12548687.0,19989839.0,9019079.0,2485.0,922.0,755.0,20527.0,0.85
2038,276286.0,263872.0,12415.0,11601256.0,20685585.0,9268791.0,2847.0,2112.0,373.0,21281.0,0.55
