years,Objective,Costs,Damages,J,Y,M,I,Redsnag,Greysnag,B_SDDsolutions,control
2087,79640.0,21598.0,58042.0,0.0,10912139.0,9432073.0,1195.0,1236.0,60912872.0,0.0,0.2
2088,78080.0,21380.0,56700.0,0.0,10911397.0,9432556.0,1207.0,1154.0,60914109.0,0.0,0.2
2089,77815.0,21895.0,55920.0,0.0,10911184.0,9432538.0,1303.0,1166.0,60915263.0,0.0,0.2
2090,75344.0,19638.0,55706.0,0.0,10910822.0,9432650.0,1258.0,1259.0,60916429.0,0.0,0.2
2091,66990.0,19310.0,47680.0,0.0,10907026.0,9436241.0,1268.0,1215.0,60917688.0,0.0,0.2
2092,63991.0,17497.0,46494.0,0.0,10896031.0,9447024.0,1169.0,1225.0,60918903.0,0.0,0.2
2093,59007.0,16965.0,42042.0,0.0,10871265.0,9471577.0,1074.0,1129.0,60920128.0,0.0,0.2
2094,62925.0,19835.0,43090.0,0.0,10767785.0,9574820.0,1250.0,1037.0,60921257.0,0.0,0.2
2095,69868.0,18754.0,51114.0,0.0,10469542.0,9872804.0,1292.0,1208.0,60922295.0,0.0,0.2
2096,63898.0,18300.0,45598.0,0.0,10226035.0,10116100.0,1321.0,1248.0,60923502.0,0.0,0.2
2097,59698.0,16406.0,43293.0,0.0,9940420.0,10401515.0,1288.0,1276.0,60924750.0,0.0,0.2
2098,52012.0,15666.0,36346.0,0.0,9340269.0,11001469.0,1255.0,1244.0,60926026.0,0.0,0.2
2099,52685.0,18163.0,34522.0,0.0,9036705.0,11304883.0,1408.0,1212.0,60927271.0,0.0,0.2
2100,57893.0,15953.0,41940.0,0.0,8552021.0,11789349.0,1280.0,1360.0,60928483.0,0.0,0.2
2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
