years,Objective,Costs,Damages,J,Y,M,I,Redsnag,Greysnag,B_SDDsolutions,control
2048,7845268.0,7337687.0,507581.0,5477462.0,8336905.0,7366928.0,103605.0,18722.0,37086628.0,511682876.0,0.65
2049,15180520.0,13469853.0,1710667.0,5006433.0,8692608.0,7381876.0,223221.0,66398.0,37105350.0,1109888298.0,0.45
2050,7878912.0,3222412.0,4656500.0,4470746.0,8995875.0,7401065.0,77681.0,184799.0,37171748.0,382265242.0,0.55
2051,5151632.0,3680623.0,1471009.0,4076895.0,9286970.0,7428338.0,73903.0,57707.0,37356547.0,363227210.0,0.45
2052,3196324.0,1675049.0,1521275.0,3629922.0,9583794.0,7506063.0,41828.0,61183.0,37414254.0,203039488.0,0.65
2053,5229071.0,4577882.0,651190.0,3331938.0,9815464.0,7531488.0,80439.0,26806.0,37475437.0,396165060.0,0.75
2054,14283284.0,13283273.0,1000011.0,2889306.0,10153084.0,7557625.0,204044.0,41979.0,37502243.0,1013902346.0,0.45
2055,4095249.0,46643.0,4048606.0,2448891.0,10362172.0,7587138.0,1206.0,168923.0,37544222.0,0.0,0.95
2056,350683.0,343939.0,6743.0,2164771.0,10575814.0,7657363.0,4071.0,281.0,37713146.0,13750902.0,0.55
2057,323224.0,239792.0,83432.0,1846543.0,10855458.0,7692876.0,5021.0,3024.0,37713426.0,18760828.0,0.75
2058,1099963.0,1030643.0,69320.0,1527763.0,11120352.0,7742724.0,15958.0,2620.0,37716451.0,74068874.0,0.65
2059,1881688.0,1609776.0,271912.0,1229209.0,11369460.0,7777191.0,29187.0,10227.0,37719071.0,139751871.0,0.65
2060,4071795.0,3581644.0,490151.0,846380.0,11670823.0,7830940.0,65945.0,18705.0,37729298.0,323462818.0,0.65
2061,8421688.0,7332142.0,1089546.0,626204.0,11773165.0,7884470.0,135611.0,42262.0,37748004.0,671849014.0,0.55
2062,12753851.0,10115188.0,2638663.0,547321.0,11672203.0,7931530.0,223886.0,100742.0,37790266.0,1113231612.0,0.75
2063,41590036.0,38553982.0,3036054.0,431669.0,11511468.0,7986991.0,632221.0,116841.0,37891008.0,3155316570.0,0.75
2064,124172350.0,115610512.0,8561839.0,314873.0,10964391.0,8037203.0,1910619.0,329940.0,38007848.0,9547475550.0,0.85
2065,418041284.0,398802546.0,19238738.0,263665.0,9348511.0,8043422.0,5929985.0,737260.0,38337789.0,29644238744.0,0.45
2066,193734030.0,69186379.0,124547651.0,205987.0,6077871.0,8021112.0,1915572.0,4909286.0,39075049.0,9571801690.0,0.45
2067,43069603.0,42035.0,43027568.0,179049.0,4819784.0,8043767.0,1268.0,1585854.0,43984335.0,0.0,0.45
2068,66398.0,43586.0,22813.0,135751.0,4840714.0,8065901.0,1341.0,1050.0,45570190.0,0.0,0.45
2069,62431.0,39024.0,23407.0,85850.0,4849886.0,8106454.0,1254.0,1110.0,45571239.0,384166.0,0.65
2070,133394.0,118186.0,15208.0,54515.0,4853756.0,8133675.0,2538.0,804.0,45572350.0,6334331.0,0.75
2071,310224.0,281237.0,28987.0,24746.0,4844481.0,8171321.0,5080.0,1324.0,45573153.0,18645969.0,0.55
2072,273504.0,180866.0,92637.0,19162.0,4821643.0,8195888.0,4504.0,3774.0,45574478.0,16660571.0,0.75
2073,669675.0,612201.0,57473.0,16360.0,4794807.0,8222106.0,11085.0,2351.0,45578251.0,49691248.0,0.85
2074,2255371.0,2145589.0,109782.0,7625.0,4764005.0,8251645.0,34328.0,4278.0,45580602.0,165219055.0,0.85
2075,7094013.0,6747002.0,347011.0,2559.0,4675300.0,8312478.0,107824.0,13246.0,45584880.0,532685741.0,0.55
2076,8683996.0,6529946.0,2154050.0,1749.0,4550894.0,8334635.0,161448.0,80100.0,45598126.0,801166352.0,0.55
2077,11635920.0,8346297.0,3289622.0,539.0,4370087.0,8364201.0,207065.0,119936.0,45678226.0,1029092278.0,0.95
2078,54883024.0,53542747.0,1340278.0,183.0,4132630.0,8404672.0,776311.0,48220.0,45798162.0,3875835968.0,0.55
2079,44193347.0,28188971.0,16004375.0,0.0,3472866.0,8422412.0,700707.0,576702.0,45846382.0,3497021862.0,0.55
2080,45713531.0,30703293.0,15010238.0,0.0,2899975.0,8442095.0,762731.0,520538.0,46423084.0,3807363481.0,0.65
2081,58563475.0,44167077.0,14396398.0,0.0,2315702.0,8442070.0,924296.0,488815.0,46943622.0,4615318730.0,0.75
2082,147497087.0,132873220.0,14623867.0,0.0,1605442.0,8441494.0,2455601.0,482367.0,47432437.0,12271769555.0,0.55
2083,105617636.0,51605174.0,54012462.0,0.0,774412.0,8442112.0,1296071.0,1824205.0,47914804.0,6474366638.0,0.55
2084,52804559.0,23548985.0,29255574.0,0.0,426244.0,8442096.0,595570.0,962819.0,49739009.0,2971869158.0,0.65
2085,20839185.0,9212678.0,11626507.0,0.0,310721.0,8442084.0,188980.0,381686.0,50701827.0,938556397.0,0.65
2086,7853888.0,3752189.0,4101699.0,0.0,273514.0,8442074.0,76072.0,121113.0,51083513.0,373958793.0,0.65
2087,7846257.0,6129729.0,1716528.0,0.0,254573.0,8442067.0,143273.0,48752.0,51204626.0,710392145.0,0.55
2088,3084146.0,272071.0,2812075.0,0.0,240041.0,8442975.0,7167.0,106434.0,51253379.0,29799295.0,0.65
2089,466279.0,328991.0,137288.0,0.0,234066.0,8442957.0,7271.0,4593.0,51359813.0,29841278.0,0.55
2090,245576.0,78485.0,167092.0,0.0,227871.0,8443168.0,2769.0,5402.0,51364406.0,7553780.0,0.65
2091,143317.0,117198.0,26119.0,0.0,226342.0,8443164.0,3499.0,1774.0,51369807.0,11154923.0,0.75
2092,312111.0,284358.0,27753.0,0.0,224101.0,8443146.0,7230.0,1826.0,51371582.0,30302530.0,0.75
2093,641438.0,579099.0,62338.0,0.0,218031.0,8443138.0,14723.0,3773.0,51373408.0,68247460.0,0.75
2094,1719836.0,1589262.0,130575.0,0.0,204355.0,8443120.0,40581.0,7684.0,51377181.0,196657199.0,0.55
2095,559002.0,38964.0,520038.0,0.0,194583.0,8444818.0,1531.0,30147.0,51384865.0,1196252.0,0.45
2096,43037.0,27563.0,15473.0,0.0,186146.0,8452984.0,1409.0,1268.0,51415012.0,439616.0,0.65
2097,51595.0,42496.0,9099.0,0.0,170134.0,8468881.0,1528.0,903.0,51416279.0,1201869.0,0.85
2098,68254.0,62429.0,5825.0,0.0,153703.0,8485023.0,1668.0,590.0,51417182.0,2066755.0,0.65
2099,57655.0,45393.0,12262.0,0.0,147909.0,8490408.0,1645.0,1069.0,51417772.0,1184681.0,0.75
2100,63538.0,54567.0,8971.0,0.0,140804.0,8497250.0,1689.0,858.0,51418841.0,2045550.0,0.75
2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,0.45
2021,197441.0,151168.0,46274.0,22960906.0,14435982.0,4212612.0,2072.0,668.0,0.0,3790938.0,0.65
2022,669852.0,592974.0,76878.0,22444158.0,14555054.0,4608735.0,5168.0,1328.0,668.0,19733399.0,0.45
2023,605983.0,295458.0,310526.0,22040105.0,14584005.0,4979130.0,3854.0,4278.0,1996.0,12968092.0,0.65
2024,1321816.0,1153305.0,168510.0,21428506.0,14823948.0,5347438.0,10146.0,2470.0,6274.0,44926725.0,0.75
2025,4461837.0,4071549.0,390288.0,20839923.0,15022409.0,5727861.0,30777.0,5295.0,8744.0,148233331.0,0.85
2026,19275231.0,18367769.0,907462.0,20399820.0,15158881.0,6001203.0,122971.0,11876.0,14039.0,608269314.0,0.55
2027,16002098.0,8960908.0,7041190.0,19902536.0,15189015.0,6346259.0,93768.0,91352.0,25915.0,462788796.0,0.75
2028,33789821.0,30045458.0,3744364.0,18019521.0,16510730.0,6814307.0,235013.0,48935.0,117267.0,1169061955.0,0.65
2029,78174944.0,66921765.0,11253178.0,17536969.0,16503712.0,7069567.0,612097.0,150614.0,166202.0,3053736279.0,0.75
2030,243315992.0,219724672.0,23591320.0,16866307.0,16287070.0,7348001.0,1765284.0,319438.0,316816.0,8819894467.0,0.65
2031,554694567.0,472124180.0,82570387.0,16310961.0,14881031.0,7570414.0,4478917.0,1131326.0,636255.0,22388684866.0,0.45
2032,300354826.0,38311069.0,262043757.0,15681330.0,11494966.0,7651039.0,537998.0,3707983.0,1767581.0,2683553688.0,0.55
2033,94187173.0,66924754.0,27262419.0,15090554.0,11441275.0,7777390.0,782624.0,399665.0,5475564.0,3906734923.0,0.85
2034,398736446.0,378560405.0,20176040.0,14442721.0,11211128.0,7897518.0,2919277.0,301995.0,5875229.0,14590444799.0,0.55
2035,317903919.0,176403924.0,141499995.0,13729775.0,9271569.0,7991229.0,2162665.0,2168658.0,6177224.0,10806955370.0,0.85
2036,797697907.0,745595742.0,52102166.0,13084472.0,8072567.0,8044692.0,6180892.0,834518.0,8345882.0,30898542123.0,0.75
2037,1147013241.0,961117338.0,185895903.0,12548687.0,5156429.0,8000961.0,9635071.0,3225653.0,9180401.0,48168935295.0,0.45
2038,506867078.0,104241843.0,402625235.0,11601256.0,3305197.0,7817724.0,1870194.0,7976634.0,12406054.0,9344771926.0,0.65
2039,218497785.0,166844233.0,51653552.0,11089616.0,2911249.0,7817733.0,2149286.0,1198561.0,20382688.0,10740225418.0,0.65
2040,256012441.0,200846422.0,55166019.0,10429502.0,2615450.0,7816939.0,2670298.0,1377424.0,21581249.0,13345448664.0,0.65
2041,309074315.0,244629254.0,64445061.0,9741548.0,2609293.0,7817794.0,2967290.0,1711327.0,22958673.0,14829783182.0,0.85
2042,460060340.0,403996907.0,56063433.0,9149056.0,2676719.0,7443037.0,4412560.0,1145003.0,24670000.0,22056731812.0,0.45
2043,118037467.0,70290.0,117967177.0,8570086.0,2754769.0,7461140.0,1287.0,3653048.0,25815003.0,0.0,0.75
2044,260618.0,229780.0,30838.0,7952775.0,3364653.0,7468417.0,2595.0,672.0,29468051.0,6680496.0,0.75
2045,589286.0,529922.0,59365.0,7215806.0,4092338.0,7476240.0,5968.0,1354.0,29468723.0,23314133.0,0.55
2046,583208.0,383217.0,199990.0,6599045.0,4701179.0,7479439.0,6142.0,4433.0,29470077.0,24924172.0,0.45
2047,273671.0,62739.0,210933.0,6078577.0,5211241.0,7484769.0,1234.0,5085.0,29474511.0,0.0,0.65
2048,228563.0,195353.0,33210.0,5477462.0,5800642.0,7496304.0,2675.0,791.0,29479595.0,7036021.0,0.55
2049,299179.0,215062.0,84118.0,5006433.0,6256034.0,7510392.0,3598.0,1987.0,29480386.0,11774665.0,0.65
2050,556658.0,464776.0,91882.0,4470746.0,6767534.0,7532081.0,6668.0,2306.0,29482373.0,27198200.0,0.65
2051,1196104.0,1027686.0,168418.0,4076895.0,7133454.0,7554375.0,14867.0,4273.0,29484679.0,68043534.0,0.55
2052,1826512.0,1390580.0,435932.0,3629922.0,7484861.0,7636217.0,24308.0,11044.0,29488952.0,115441715.0,0.75
2053,6564659.0,6080312.0,484347.0,3331938.0,7732196.0,7663537.0,79040.0,12686.0,29499996.0,389170383.0,0.45
2054,3933123.0,1465937.0,2467186.0,2889306.0,8071066.0,7689651.0,32144.0,65435.0,29512682.0,154401299.0,0.85
2055,11416650.0,10952555.0,464095.0,2448891.0,8455674.0,7714570.0,128695.0,12404.0,29578118.0,637444377.0,0.55
2056,9898177.0,6349458.0,3548719.0,2164771.0,8568837.0,7758847.0,116482.0,95604.0,29590521.0,575804056.0,0.55
2057,9310664.0,6108900.0,3201764.0,1846543.0,8744345.0,7786584.0,113273.0,86531.0,29686126.0,560022477.0,0.45
2058,4788934.0,1334780.0,3454154.0,1527763.0,8910137.0,7828373.0,30519.0,93776.0,29772657.0,146873026.0,0.45
2059,985563.0,54994.0,930569.0,1229209.0,9148693.0,7858842.0,1237.0,25266.0,29866433.0,0.0,0.45
2060,102149.0,62111.0,40039.0,846380.0,9483559.0,7906524.0,1457.0,1024.0,29891699.0,1025572.0,0.45
2061,96478.0,52924.0,43554.0,626204.0,9654120.0,7955651.0,1241.0,1206.0,29892723.0,0.0,0.85
2062,314252.0,296577.0,17674.0,547321.0,9689883.0,7998531.0,3554.0,479.0,29893929.0,11569340.0,0.45
2063,166819.0,46750.0,120070.0,431669.0,9743953.0,8057569.0,1158.0,2942.0,29894408.0,0.0,0.65
2064,161599.0,136573.0,25025.0,314873.0,9808335.0,8109768.0,2235.0,742.0,29897350.0,5555318.0,0.75
2065,422068.0,377255.0,44813.0,263665.0,9829208.0,8138786.0,5156.0,1166.0,29898092.0,20093385.0,0.65
2066,865702.0,725526.0,140176.0,205987.0,9808974.0,8212441.0,11496.0,3304.0,29899259.0,51421727.0,0.85
2067,3368762.0,3179366.0,189395.0,179049.0,9767087.0,8270693.0,38667.0,4436.0,29902563.0,186994444.0,0.55
2068,3177172.0,1940293.0,1236879.0,135751.0,9686068.0,8358308.0,36931.0,28725.0,29906999.0,177952121.0,0.45
2069,1345383.0,42139.0,1303244.0,85850.0,9609810.0,8449053.0,1177.0,30575.0,29935724.0,0.0,0.45
2070,83011.0,55202.0,27810.0,54515.0,9571798.0,8518136.0,1550.0,974.0,29966298.0,1393715.0,0.65
2071,197617.0,168982.0,28635.0,24746.0,9523770.0,8595428.0,2992.0,993.0,29967273.0,8204116.0,0.65
2072,337619.0,267362.0,70258.0,19162.0,9445698.0,8677214.0,4709.0,1917.0,29968266.0,17686380.0,0.55
2073,334414.0,202510.0,131904.0,16360.0,9398501.0,8723475.0,4271.0,3498.0,29970183.0,15620625.0,0.45
2074,174566.0,42713.0,131853.0,7625.0,9321973.0,8805387.0,1284.0,3536.0,29973682.0,0.0,0.45
2075,81935.0,53704.0,28231.0,2559.0,9238458.0,8893728.0,1576.0,1063.0,29977218.0,1446256.0,0.45
2076,76872.0,39250.0,37622.0,1749.0,9177040.0,8955396.0,1215.0,1305.0,29978281.0,0.0,0.55
2077,94721.0,71426.0,23296.0,539.0,9100817.0,9032631.0,1698.0,903.0,29979586.0,2254770.0,0.45
2078,85213.0,41987.0,43226.0,183.0,9013491.0,9119622.0,1301.0,1406.0,29980488.0,787028.0,0.45
2079,70396.0,41398.0,28998.0,0.0,8918817.0,9214117.0,1360.0,1077.0,29981894.0,285124.0,0.55
2080,117256.0,93262.0,23994.0,0.0,8845260.0,9287422.0,2281.0,1010.0,29982971.0,5113587.0,0.45
2081,125816.0,68185.0,57631.0,0.0,8843936.0,9287503.0,2076.0,1888.0,29983982.0,4221042.0,0.45
2082,93226.0,41966.0,51260.0,0.0,8842347.0,9288054.0,1404.0,1719.0,29985870.0,784306.0,0.65
2083,171834.0,149951.0,21883.0,0.0,8840561.0,9289451.0,3112.0,900.0,29987589.0,9572206.0,0.45
2084,140182.0,57775.0,82407.0,0.0,8837553.0,9290386.0,1805.0,2577.0,29988488.0,3047446.0,0.95
2085,534067.0,521563.0,12504.0,0.0,8836567.0,9290588.0,6906.0,420.0,29991065.0,28183267.0,0.45
2086,251443.0,34022.0,217421.0,0.0,8829907.0,9291448.0,1280.0,5717.0,29991486.0,0.0,0.65
2087,121042.0,104916.0,16126.0,0.0,8827627.0,9293584.0,2316.0,820.0,29997203.0,5602619.0,0.45
2088,106436.0,48899.0,57537.0,0.0,8821545.0,9298334.0,1672.0,1917.0,29998023.0,2324151.0,0.45
2089,94545.0,58326.0,36219.0,0.0,8819022.0,9300214.0,1991.0,1384.0,29999940.0,3442264.0,0.45
2090,74327.0,30223.0,44103.0,0.0,8811642.0,9306708.0,1258.0,1649.0,30001324.0,0.0,0.45
2091,46944.0,29833.0,17111.0,0.0,8802097.0,9316093.0,1268.0,1041.0,30002973.0,0.0,0.45
2092,47126.0,30441.0,16685.0,0.0,8795446.0,9322556.0,1262.0,1050.0,30004014.0,465778.0,0.75
2093,165458.0,153873.0,11585.0,0.0,8761407.0,9356314.0,2905.0,659.0,30005064.0,9154997.0,0.65
2094,350683.0,287745.0,62938.0,0.0,8734462.0,9381239.0,5789.0,1862.0,30005722.0,22697269.0,0.65
2095,683529.0,536337.0,147192.0,0.0,8719896.0,9391038.0,10514.0,3710.0,30007584.0,46108532.0,0.65
2096,1258307.0,975342.0,282965.0,0.0,8685233.0,9416298.0,18682.0,6738.0,30011295.0,86802691.0,0.45
2097,709064.0,26267.0,682797.0,0.0,8602792.0,9481258.0,1288.0,15466.0,30018032.0,0.0,0.45
2098,38176.0,25137.0,13039.0,0.0,8455831.0,9628039.0,1255.0,1066.0,30033498.0,0.0,0.65
2099,105122.0,95536.0,9586.0,0.0,8293143.0,9790582.0,2505.0,804.0,30034565.0,5484968.0,0.45
2100,78076.0,25303.0,52774.0,0.0,7946429.0,10136014.0,1280.0,2074.0,30035369.0,0.0,0.55
2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,0.85
2021,1440814.0,1389371.0,51442.0,22960906.0,14435982.0,4212612.0,5774.0,311.0,0.0,22302088.0,0.55
2022,1624182.0,896083.0,728099.0,22444158.0,14551479.0,4608613.0,5625.0,4290.0,311.0,22019661.0,0.75
2023,3913263.0,3393162.0,520101.0,22040105.0,14580085.0,4978890.0,15326.0,2936.0,4601.0,70330956.0,0.65
2024,7290722.0,5486921.0,1803801.0,21428506.0,14808938.0,5346823.0,28483.0,9822.0,7537.0,136612069.0,0.55
2025,10441591.0,6504946.0,3936646.0,20839923.0,14989901.0,5726406.0,40112.0,21160.0,17359.0,194909452.0,0.75
2026,29012888.0,25120298.0,3892590.0,20399820.0,15118030.0,5998755.0,114282.0,20933.0,38518.0,564826241.0,0.55
2027,46070412.0,30314248.0,15756164.0,19902536.0,15156923.0,6343427.0,189929.0,84897.0,59452.0,943594162.0,0.75
2028,135787933.0,117531375.0,18256558.0,18019521.0,16386425.0,6807591.0,551906.0,99119.0,144349.0,2753524139.0,0.65
2029,262022841.0,198481431.0,63541410.0,17536969.0,16073649.0,7053748.0,1090886.0,353703.0,243468.0,5447680215.0,0.65
2030,551312725.0,427463486.0,123849239.0,16866307.0,15411675.0,7316304.0,2392261.0,699122.0,597171.0,11954777535.0,0.65
2031,910931268.0,644593404.0,266337864.0,16310961.0,13527656.0,7510085.0,3746572.0,1533140.0,1296293.0,18726959724.0,0.75
2032,2235535279.0,1912005341.0,323529937.0,15681330.0,10928902.0,7582548.0,9768294.0,1955242.0,2829432.0,48835036688.0,0.55
2033,1764588897.0,580238236.0,1184350660.0,15090554.0,6209743.0,7552158.0,4432747.0,7256622.0,4784675.0,22157349072.0,0.55
2034,768425950.0,297165042.0,471260908.0,14442721.0,4574349.0,7565057.0,2471761.0,3292977.0,12041296.0,12352864926.0,0.85
2035,1296961450.0,1176495072.0,120466379.0,13729775.0,3851495.0,7569142.0,6867820.0,953791.0,15334273.0,34332728360.0,0.75
2036,1480542422.0,1080356401.0,400186021.0,13084472.0,2540112.0,7495015.0,7739829.0,3584143.0,16288064.0,38693222718.0,0.65
2037,1288566206.0,799997283.0,488568923.0,12548687.0,1970943.0,7470024.0,6919041.0,4960263.0,19872207.0,34588787098.0,0.45
2038,617024569.0,90193355.0,526831213.0,11601256.0,2205996.0,7410881.0,1080043.0,5728101.0,24832470.0,5394012729.0,0.75
2039,222426296.0,165971481.0,56454815.0,11089616.0,2471301.0,7411428.0,1485598.0,563647.0,30560571.0,7421782743.0,0.65
2040,228027283.0,163896394.0,64130889.0,10429502.0,2886296.0,7420763.0,1137068.0,952082.0,31124219.0,5679300555.0,0.85
2041,365909022.0,306365078.0,59543944.0,9741548.0,3380601.0,7421582.0,2022717.0,438766.0,32076301.0,10106920386.0,0.85
2042,474432622.0,399150493.0,75282129.0,9149056.0,3734995.0,7439271.0,3300589.0,780516.0,32515067.0,16496876405.0,0.45
2043,175672836.0,110105.0,175562730.0,8570086.0,4132836.0,7457462.0,1287.0,2732475.0,33295583.0,0.0,0.85
2044,559730.0,505359.0,54371.0,7952775.0,4745044.0,7462402.0,3244.0,497.0,36028058.0,9923500.0,0.45
2045,491313.0,211626.0,279687.0,7215806.0,5472600.0,7469708.0,2577.0,2685.0,36028555.0,6358386.0,0.55
2046,570023.0,370188.0,199836.0,6599045.0,6081887.0,7475730.0,3724.0,1914.0,36031240.0,12834154.0,0.75
2047,1565426.0,1363868.0,201558.0,6078577.0,6594891.0,7480481.0,10342.0,1943.0,36033155.0,45538706.0,0.45
2048,1475088.0,617928.0,857160.0,5477462.0,7165892.0,7501298.0,7918.0,8562.0,36035098.0,33249988.0,0.45
2049,741437.0,93754.0,647683.0,5006433.0,7614541.0,7516823.0,1243.0,6555.0,36043660.0,0.0,0.55
2050,280289.0,193174.0,87114.0,4470746.0,8127936.0,7538922.0,2052.0,923.0,36050215.0,4118999.0,0.45
2051,258809.0,91433.0,167376.0,4076895.0,8490079.0,7569590.0,1258.0,1699.0,36051138.0,0.0,0.45
2052,186742.0,92508.0,94234.0,3629922.0,8856968.0,7649446.0,1220.0,1041.0,36052837.0,0.0,0.55
2053,248878.0,160228.0,88650.0,3331938.0,9127256.0,7676863.0,1754.0,906.0,36053878.0,2742470.0,0.65
2054,461034.0,352643.0,108391.0,2889306.0,9539897.0,7706115.0,3169.0,1124.0,36054784.0,9526501.0,0.45
2055,354147.0,86539.0,267607.0,2448891.0,9942394.0,7741862.0,1226.0,2624.0,36055909.0,97886.0,0.55
2056,273148.0,191544.0,81604.0,2164771.0,10157907.0,7810230.0,2106.0,910.0,36058533.0,3923439.0,0.45
2057,262249.0,90906.0,171343.0,1846543.0,10438213.0,7847086.0,1269.0,1743.0,36059443.0,0.0,0.55
2058,250011.0,161996.0,88015.0,1527763.0,10704239.0,7899553.0,1831.0,943.0,36061186.0,3435302.0,0.55
2059,346321.0,216145.0,130176.0,1229209.0,10964506.0,7936961.0,2446.0,1360.0,36062129.0,6045834.0,0.75
2060,873236.0,750303.0,122933.0,846380.0,11292281.0,7990510.0,6170.0,1277.0,36063489.0,24589262.0,0.45
2061,586650.0,83799.0,502850.0,626204.0,11451628.0,8046148.0,1241.0,5108.0,36064766.0,0.0,0.45
2062,168350.0,77908.0,90442.0,547321.0,11481018.0,8095355.0,1240.0,1027.0,36069874.0,0.0,0.45
2063,154305.0,73073.0,81231.0,431669.0,11532775.0,8158962.0,1158.0,1027.0,36070901.0,0.0,0.45
2064,144109.0,67001.0,77108.0,314873.0,11591387.0,8216910.0,1124.0,959.0,36071928.0,0.0,0.45
2065,138015.0,69174.0,68841.0,263665.0,11598740.0,8260507.0,1137.0,931.0,36072886.0,0.0,0.45
2066,174925.0,102235.0,72690.0,205987.0,11570566.0,8346085.0,1572.0,941.0,36073817.0,1797602.0,0.45
2067,191248.0,78590.0,112658.0,179049.0,11531543.0,8411368.0,1268.0,1301.0,36074758.0,0.0,0.45
2068,166105.0,81108.0,84997.0,135751.0,11471000.0,8514856.0,1341.0,1050.0,36076059.0,0.0,0.45
2069,152015.0,64777.0,87239.0,85850.0,11415785.0,8619698.0,1177.0,1110.0,36077109.0,0.0,0.45
2070,131850.0,65531.0,66319.0,54515.0,11356799.0,8709743.0,1271.0,974.0,36078219.0,0.0,0.55
2071,241030.0,182884.0,58145.0,24746.0,11292430.0,8803637.0,2389.0,944.0,36079194.0,5191905.0,0.45
2072,229538.0,61448.0,168090.0,19162.0,11210671.0,8889709.0,1172.0,1978.0,36080138.0,0.0,0.45
2073,121941.0,59189.0,62751.0,16360.0,11154483.0,8948469.0,1147.0,970.0,36082116.0,0.0,0.45
2074,126115.0,65710.0,60405.0,7625.0,11071660.0,9039781.0,1284.0,950.0,36083086.0,0.0,0.45
2075,148417.0,81065.0,67352.0,2559.0,10966727.0,9149523.0,1524.0,1063.0,36084036.0,1185967.0,0.45
2076,146349.0,60408.0,85941.0,1749.0,10900643.0,9215898.0,1215.0,1262.0,36085099.0,0.0,0.45
2077,124024.0,62071.0,61953.0,539.0,10812594.0,9304960.0,1247.0,1006.0,36086361.0,0.0,0.45
2078,119350.0,55023.0,64327.0,183.0,10713421.0,9404234.0,1144.0,1032.0,36087366.0,0.0,0.45
