years,Objective,Costs,Damages,J,Y,M,I,Redsnag,Greysnag,B_SDDsolutions,control
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,0.65
2021,431630.0,408695.0,22935.0,22960906.0,14435982.0,4212612.0,4277.0,517.0,0.0,14817398.0,0.65
2022,955856.0,835487.0,120369.0,22444158.0,14552921.0,4608662.0,8521.0,2741.0,517.0,36499702.0,0.75
2023,3086055.0,2868903.0,217152.0,22040105.0,14578667.0,4978908.0,25367.0,4447.0,3259.0,120532836.0,0.55
2024,3322642.0,2378069.0,944573.0,21428506.0,14797770.0,5346553.0,28950.0,18844.0,7705.0,138944382.0,0.55
2025,4479388.0,3401708.0,1077681.0,20839923.0,14978550.0,5725852.0,41829.0,21506.0,26550.0,203495914.0,0.65
2026,9077379.0,7736179.0,1341200.0,20399820.0,15105173.0,5997994.0,81368.0,26807.0,48056.0,400257249.0,0.85
2027,42901073.0,41336150.0,1564922.0,19902536.0,15176578.0,6343052.0,336268.0,31398.0,74863.0,1675289432.0,0.55
2028,45729381.0,33344919.0,12384462.0,18019521.0,16264721.0,6802778.0,427442.0,249805.0,106261.0,2131206827.0,0.65
2029,76964472.0,63747687.0,13216785.0,17536969.0,16075492.0,7049054.0,701523.0,273937.0,356066.0,3500864084.0,0.55
2030,99015950.0,74214813.0,24801137.0,16866307.0,15781153.0,7318856.0,980266.0,521144.0,630003.0,4894806624.0,0.65
2031,209099691.0,179692035.0,29407656.0,16310961.0,15141089.0,7553119.0,2048936.0,628228.0,1151147.0,10238778966.0,0.85
2032,865689399.0,829734378.0,35955021.0,15681330.0,13725732.0,7660116.0,7372512.0,790633.0,1779375.0,36856126592.0,0.85
2033,2554077437.0,2427994737.0,126082700.0,15090554.0,9010963.0,7700262.0,22347727.0,2844868.0,2570008.0,111732251564.0,0.65
2034,1931229010.0,1340684341.0,590544669.0,14442721.0,3858917.0,7480537.0,17258412.0,14322100.0,5414876.0,86286120213.0,0.45
2035,613375034.0,117739828.0,495635206.0,13729775.0,2188305.0,7323206.0,2305547.0,14287808.0,19736976.0,11521362815.0,0.45
2036,58807753.0,1095553.0,57712200.0,13084472.0,2131758.0,7266198.0,22766.0,1908704.0,34024784.0,107908735.0,0.55
2037,1866265.0,1438585.0,427680.0,12548687.0,2646909.0,7267166.0,25482.0,16912.0,35933488.0,120991258.0,0.85
2038,8205253.0,7984953.0,220300.0,11601256.0,3568562.0,7269555.0,91568.0,9833.0,35950400.0,451638542.0,0.55
2039,7697586.0,6104015.0,1593572.0,11089616.0,3994202.0,7269663.0,109643.0,68023.0,35960233.0,542008704.0,0.85
2040,30456734.0,29474508.0,982225.0,10429502.0,4540082.0,7279063.0,349585.0,42308.0,36028257.0,1741883628.0,0.55
2041,24371738.0,18559965.0,5811773.0,9741548.0,4910776.0,7282286.0,347549.0,259698.0,36070565.0,1731079087.0,0.65
2042,45520760.0,40739664.0,4781096.0,9149056.0,5205009.0,7300115.0,635041.0,222735.0,36330263.0,3169133359.0,0.45
2043,12654226.0,59938.0,12594288.0,8570086.0,5341511.0,7318240.0,1287.0,525734.0,36552998.0,0.0,0.65
2044,199555.0,175318.0,24237.0,7952775.0,5953642.0,7323228.0,2685.0,825.0,37078733.0,7131982.0,0.55
2045,225202.0,170259.0,54944.0,7215806.0,6680179.0,7332068.0,3089.0,1995.0,37079557.0,8918043.0,0.95
2046,1077570.0,1057208.0,20363.0,6599045.0,7290399.0,7336588.0,11290.0,719.0,37081552.0,50662874.0,0.85
2047,3075269.0,2954455.0,120814.0,6078577.0,7793201.0,7343975.0,35875.0,4356.0,37082272.0,173204769.0,0.75
