years,Objective,Costs,Damages,J,Y,M,I,Redsnag,Greysnag,B_SDDsolutions,control
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,0.8
2021,491522.0,475203.0,16319.0,22960906.0,14435982.0,4212612.0,4051.0,368.0,0.0,13686869.0,0.8
2022,970055.0,889578.0,80477.0,22444158.0,14553140.0,4608670.0,7394.0,1847.0,368.0,30865120.0,0.85
2023,2844906.0,2706791.0,138115.0,22040105.0,14579977.0,4978950.0,21159.0,2853.0,2215.0,99495770.0,0.75
2024,2747044.0,2196566.0,550477.0,21428506.0,14803150.0,5346732.0,19677.0,11042.0,5069.0,92578088.0,0.75
2025,3209132.0,2699394.0,509738.0,20839923.0,14992845.0,5726389.0,24426.0,10269.0,16111.0,116482157.0,0.8
2026,5630955.0,5078970.0,551985.0,20399820.0,15136206.0,5999194.0,43513.0,11138.0,26380.0,210978932.0,0.9
2027,23698773.0,23027800.0,670973.0,19902536.0,15243966.0,6345715.0,177153.0,13554.0,37518.0,879717027.0,0.75
2028,24442621.0,19875258.0,4567364.0,18019521.0,16483475.0,6812689.0,186964.0,92452.0,51072.0,928813837.0,0.8
2029,34895082.0,30789319.0,4105763.0,17536969.0,16523778.0,7068513.0,275579.0,85255.0,143524.0,1371145944.0,0.75
2030,40987202.0,34162000.0,6825202.0,16866307.0,16635832.0,7353257.0,330370.0,143818.0,228780.0,1645323454.0,0.8
2031,77197968.0,70115194.0,7082774.0,16310961.0,16596545.0,7618534.0,645963.0,150649.0,372598.0,3223912789.0,0.9
2032,298521770.0,289230440.0,9291330.0,15681330.0,16445165.0,7758685.0,2406055.0,201217.0,523246.0,12023839365.0,0.9
2033,1115942800.0,1081921509.0,34021291.0,15090554.0,14537387.0,7939899.0,9195716.0,749486.0,724464.0,45972195926.0,0.8
2034,1355519385.0,1171340671.0,184178714.0,14442721.0,8958486.0,7987071.0,11651543.0,4193247.0,1473950.0,58251773696.0,0.7
2035,347925428.0,73412292.0,274513136.0,13729775.0,5036272.0,7880989.0,883210.0,6798675.0,5667196.0,4409680376.0,0.7
2036,18177913.0,89915.0,18087998.0,13084472.0,4981075.0,7911040.0,1184.0,515353.0,12465872.0,0.0,0.75
2037,177206.0,160695.0,16510.0,12548687.0,5510770.0,7916902.0,1927.0,618.0,12981225.0,3215342.0,0.9
2038,581486.0,563296.0,18189.0,11601256.0,6432572.0,7941646.0,5606.0,600.0,12981842.0,21831812.0,0.75
2039,603957.0,510938.0,93018.0,11089616.0,6927515.0,7953763.0,6249.0,2926.0,12982443.0,25041903.0,0.9
2040,1953368.0,1894153.0,59215.0,10429502.0,7558019.0,7978116.0,19573.0,1947.0,12985369.0,91825362.0,0.75
2041,1682225.0,1374911.0,307314.0,9741548.0,8209932.0,7995613.0,17245.0,10215.0,12987315.0,79561029.0,0.8
2042,2861146.0,2625395.0,235751.0,9149056.0,8752321.0,8029554.0,31569.0,7864.0,12997530.0,151773998.0,0.7
2043,624077.0,93237.0,530841.0,8570086.0,9265555.0,8064749.0,1287.0,18420.0,13005394.0,0.0,0.8
