years,Objective,Costs,Damages,J,Y,M,I,Harvest,Redsnag,Greysnag,B,B_SDD,I_LDD
2055,360591.94331032096,0.0,360591.94331032096,2448891.0,10099923.772146955,6850271.023906306,1775.0599051769834,0.0,3793.904552432444,103686759.13772808,3355426.365344893,2735299.525884928,1228.0
2056,170930.2158948015,0.0,170930.21589480154,2164771.0,10306731.703338623,6926800.032809499,2888.1568010259525,0.0,1775.0599051769834,103690553.04228054,12098183.504218087,8515784.00512974,1185.0
2057,282776.88289100013,0.0,282776.88289100013,1846543.0,10589765.842718378,6960035.358741191,1342.0,0.0,2888.1568010259525,103692328.1021855,0.0,0.0,1342.0
2058,130422.04894214541,0.0,130422.04894214543,1527763.0,10857670.825241517,7010617.380225896,2175.3343320893605,0.0,1342.0,103695216.25898625,7694956.543491585,4626671.660446796,1250.0
2059,214842.78022152503,0.0,214842.78022152503,1229209.0,11117710.621097086,7047921.0794027075,3229.1328225937805,0.0,2175.3343320893605,103696558.25898625,13017700.642940043,9945664.112968873,1240.0
2060,315682.12292902457,0.0,315682.12292902457,846380.0,11448203.918458205,7098009.07495284,9395.372331622691,0.0,3229.1328225937805,103698733.59331885,49535502.60900178,40716861.658113286,1252.0
2061,965614.316784997,0.0,965614.316784997,626204.0,11602997.680824269,7154956.171422566,1222.0,0.0,9395.372331622691,103701962.72614132,0.0,0.0,1222.0
2062,103824.26068834879,0.0,103824.26068834876,547321.0,11633426.198771909,7203149.159351605,1083.0,0.0,1222.0,103711358.09847261,0.0,0.0,1083.0
2063,85608.02689840607,0.0,85608.02689840607,431669.0,11687176.159556387,7264799.203204788,1198.0,0.0,1083.0,103712580.09847261,0.0,0.0,1198.0
2064,103461.37087241365,0.0,103461.37087241365,314873.0,11747685.139444783,7320800.223316428,1212.0,0.0,1198.0,103713663.09847261,0.0,0.0,1212.0
2065,98299.78020598066,0.0,98299.78020598066,263665.0,11757223.605527932,7362198.757233161,1293.0,0.0,1212.0,103714861.09847261,0.0,0.0,1293.0
2066,103033.70411670719,0.0,103033.70411670719,205987.0,11732034.39435652,7444751.968404613,1947.6466009779836,0.0,1293.0,103716073.09847261,4400013.899511191,2738233.0048899204,1400.0
2067,169135.1852596678,0.0,169135.18525966778,179049.0,11693665.256499292,7509177.569368771,1148.0,0.0,1947.6466009779836,103717366.09847261,0.0,0.0,1148.0
2068,93340.5745471311,0.0,93340.5745471311,135751.0,11638476.089233877,7607385.7366341865,1177.0,0.0,1148.0,103719313.74507374,0.0,0.0,1177.0
2069,89224.81057200446,0.0,89224.81057200446,85850.0,11587968.63214805,7707504.193720024,1346.0,0.0,1177.0,103720461.74507374,0.0,0.0,1346.0
2070,100253.2314507509,0.0,100253.23145075091,54515.0,11534621.486296708,7791858.339571258,1372.0,0.0,1346.0,103721638.74507374,0.0,0.0,1372.0
2071,99418.75564602022,0.0,99418.75564602022,24746.0,11474788.714315934,7881102.113672738,2690.4650081830473,0.0,1372.0,103722984.74507374,11946125.08974763,6942325.040915272,1302.0
2072,233458.14409214552,0.0,233458.1440921455,19162.0,11394698.742794206,7965094.533653254,1262.0,0.0,2690.4650081830473,103724356.74507374,0.0,0.0,1262.0
2073,93636.29156699838,0.0,93636.29156699838,16360.0,11339923.708775744,8022380.57658331,1165.0,0.0,1262.0,103727047.2100818,0.0,0.0,1165.0
2074,78303.11671414932,0.0,78303.11671414932,7625.0,11259049.829109237,8111789.4562497325,1163.0,0.0,1165.0,103728309.2100818,0.0,0.0,1163.0
2075,71347.40529250374,0.0,71347.40529250374,2559.0,11155558.662301356,8220124.62305762,1644.960544722971,0.0,1163.0,103729474.2100818,2923999.4835091056,1499802.7236148734,1345.0
2076,119748.92390823984,0.0,119748.92390823983,1749.0,11087228.237541664,8288664.087272649,1059.0,0.0,1644.960544722971,103730637.2100818,0.0,0.0,1059.0
2077,75855.79800083747,0.0,75855.79800083747,539.0,11000615.418769103,8376220.906045212,1166.0,0.0,1059.0,103732282.17062642,0.0,0.0,1166.0
2078,76128.81843701763,0.0,76128.81843701765,183.0,10898385.707672408,8478556.41357595,1230.0,0.0,1166.0,103733341.17062642,0.0,0.0,1230.0
2079,72803.6017641265,0.0,72803.6017641265,0.0,10802590.685111236,8574324.436137198,1286.0,0.0,1230.0,103734507.17062642,0.0,0.0,1286.0
2080,81203.53104005315,0.0,81203.53104005316,0.0,10714940.544609364,8661713.576638993,1256.0,0.0,1286.0,103735737.17062642,0.0,0.0,1256.0
2081,69897.46718033268,0.0,69897.46718033268,0.0,10714721.544609364,8661695.576638993,1150.0,0.0,1256.0,103737023.17062642,0.0,0.0,1150.0
2082,70972.09615934662,0.0,70972.09615934662,0.0,10714157.149570987,8662023.971677374,1268.0,0.0,1150.0,103738279.17062642,0.0,0.0,1268.0
