years,Objective,Costs,Damages,J,Y,M,I,Harvest,Redsnag,Greysnag,B,B_SDD,I_LDD
2092,28880.168465773906,0.0,28880.168465773906,0.0,202889.50540604748,7263933.329903208,2047.6313765918205,0.0,1718.562371820212,149561250.87776944,28534540.39306745,3513156.88295913,1345.0
2093,32900.72693517179,0.0,32900.726935171784,0.0,202156.87402945693,7263924.329903208,1913.8468562995936,0.0,2047.6313765918205,149562969.44014063,29872841.699299745,3834234.281497947,1147.0
2094,27643.41263471456,0.0,27643.412634714557,0.0,201392.62745279528,7263907.329903208,2222.9342181906263,0.0,1913.8468562995936,149565017.0715179,35203509.460809484,4554671.090953147,1312.0
2095,31764.155542221088,0.0,31764.155542221088,0.0,196754.54428213031,7267599.478855682,1523.5310728731044,0.0,2222.9342181906263,149566930.91837338,13029043.178256553,1567655.3643655567,1210.0
2096,18881.668686516812,0.0,18881.668686516812,0.0,191859.30278315832,7272158.189281774,1369.0954803790064,0.0,1523.5310728731044,149569153.85259244,4667516.349742021,570477.4018950132,1255.0
2097,12696.570821710997,0.0,12696.570821711,0.0,180733.77094705732,7283122.625637527,1433.2163665330102,0.0,1369.0954803790064,149570677.3836659,12990749.433024697,1111081.832665028,1211.0
2098,16412.918229533767,0.0,16412.91822953377,0.0,176331.57078074996,7287256.60943725,1771.635188726305,0.0,1433.2163665330102,149572046.47914514,29728300.173214994,2423175.9436315424,1287.0
2099,22032.32307138738,0.0,22032.323071387378,0.0,169725.1731502786,7293357.371879034,1537.4384374228143,0.0,1771.635188726305,149573479.6955117,20875735.057886694,1377192.187114058,1262.0
2100,16092.662246543337,0.0,16092.66224654334,0.0,169039.1518224135,7293714.954769457,1700.5592378286583,0.0,1537.4384374228143,149575251.3307002,27183027.14004421,2567796.1891433443,1187.0
2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,4035000.0,0.0,0.0
2021,77700.55592727572,45496.60187414392,32203.954053131845,22960906.0,14435982.0,4212612.0,3329.06900684438,80.70000000000029,726.3000000000008,0.0,10180345.034221884,10180345.034221884,1293.0
2022,253045.72923799936,103694.41168532957,149351.31755266973,22444158.0,14553815.887048557,4608665.043944605,7396.792485011044,332.9069006844367,2996.162106159946,726.3000000000008,31402793.62572757,30463962.42505542,1304.0
2023,698680.9140563108,343711.7630550768,354969.15100123355,22040105.0,14580629.00414212,4978962.643224718,23191.431057971076,739.6792485011076,6657.113236509959,3722.4621061599273,110864655.76196699,109662155.28985597,1259.0
2024,1599272.0451774711,435406.57184144005,1163865.4733360293,21428506.0,14802311.897966698,5346158.339018254,29560.682032390745,2319.1431057971204,20872.287952173996,10379.575342669861,141841324.8594628,140933410.16195324,1374.0
2025,2140784.0479230615,678399.200218414,1462384.847704647,20839923.0,14982963.722915964,5725044.932257645,45530.57049699313,2956.0682032390714,26604.613829151716,31251.863294843883,221943833.4399879,221237852.48496523,1283.0
2026,3689400.0251692873,1451321.838525666,2238078.186643621,20399820.0,15106785.062526738,5996284.080059153,94407.61624778682,4553.057049699328,40977.51344729395,57856.477123995704,466758522.244619,465848081.2389363,1238.0
2027,11280411.533621943,6644065.082515741,4636346.451106198,19902536.0,15168132.249921966,6338314.391209263,403204.34167565376,9440.761624778674,84966.85462300848,98833.99057128986,2014371785.9218097,2010016708.3782752,1201.0
2028,28621491.454446133,9027083.373974295,19594408.080471847,18019521.0,16203396.675720694,6784656.147241336,551411.6732320188,40320.43416756554,362883.90750808874,183800.8451942978,2772228192.1840944,2750543366.1600947,1303.0
2029,41971609.095364496,16177628.460958745,25793980.634405777,17536969.0,15904301.164698603,7020435.095334837,980660.2527904016,55141.16732320189,496270.505908817,546684.7527023853,4973923247.4795265,4897421263.952027,1176.0
2030,67595830.21845502,23346070.7568145,44249759.46164052,16866307.0,15387484.878676765,7255372.000613603,1417468.484434061,98066.02527904099,882594.227511367,1042955.2586112022,7340014835.435132,7080902422.170257,1288.0
2031,111188918.69599614,49085221.913559,62103696.782437086,16310961.0,14425656.061429804,7454846.120728319,2918029.9730793107,141746.8484434049,1275721.6359906492,1925549.4861225646,15863308682.07064,14584054865.396486,1219.0
2032,307751967.66474783,184328175.844658,123423791.82008973,15681330.0,12500156.172117079,7530876.416250966,10284861.007675232,291802.9973079285,2626226.975771368,3201271.122113225,57865533078.5451,51417450038.37632,1371.0
2033,874214688.781064,450278251.06563264,423936437.7154312,15090554.0,7830332.742160384,7529688.404435157,24164845.140911642,1028486.1007675254,9256374.906907784,5827498.097884571,213399939893.28207,120818445704.5585,1156.0
2034,1170195154.8136919,293557300.9353388,876637853.8783538,14442721.0,3527326.175042197,7285203.8657906875,16012275.256203054,2416484.5140911504,21748360.626820534,15083873.004792342,244381110242.57034,80054771281.01549,1321.0
2035,506676887.58205706,52979489.36535093,453697398.21670586,13729775.0,2034629.0120944974,7203600.76257047,3132885.74203809,1601227.525620302,14411047.730582716,36832233.631612785,39780190631.67111,15658138710.190432,1258.0
2036,80759115.88797072,3894527.245177556,76864588.64279321,13084472.0,1912151.7751839329,7204252.76257047,264779.53803438874,313288.57420380996,2819597.167834282,51243281.36219577,2626583254.3903933,1316902690.1719425,1399.0
2037,10062893.839295095,3261553.4888138566,6801340.350481231,12548687.0,2285925.620165701,7202647.424327613,233444.8396213705,26477.953803438788,238301.5842309513,54062878.53002987,1880714170.074175,1160639198.1068492,1317.0
2038,15067462.925640497,10062360.89410813,5005102.031532371,11601256.0,3064398.450260481,7202732.407010628,674106.1437758924,23344.48396213715,210100.3556592323,54301180.11426088,4697181605.051671,3364575718.879444,1191.0
2039,22137760.91144897,8264089.068562755,13873671.842886224,11089616.0,3199144.947888364,7202858.407010628,577868.3041419203,67410.61437758934,606695.5293983038,54511280.46991992,4662722066.287841,2883426520.7095942,1183.0
2040,27872503.351795956,19150830.192861408,8721673.158934537,10429502.0,3562358.988234963,7212164.656731865,1260544.0823737977,57786.83041419208,520081.47372772836,55117975.99931838,10301893364.3167,6296480411.868997,1248.0
2041,37405151.501131736,14763537.026434133,22641614.474697594,9741548.0,3860467.644715677,7212945.228663767,980518.5405839701,126054.40823737934,1134489.6741364216,55638057.47304595,7288630808.233556,4895687702.919888,1381.0
2042,33983019.001666516,18096578.309417717,15886440.692248814,9149056.0,4182161.869492999,7231025.002502374,1195323.9205806558,98051.85405839734,882466.6865255748,56772547.147182465,10338618928.051271,5970669602.903313,1190.0
2043,19612056.835325748,10896.948109296194,19601159.887216453,8570086.0,4413360.321878824,7248592.897505912,1255.0,119532.39205806598,1075791.5285225895,57655013.833707854,0.0,0.0,1255.0
2044,55350.00950925858,25813.017566389866,29536.99194286874,7952775.0,5025623.018509835,7253436.20087489,2826.9016362043226,125.5,1129.5,58730805.36223044,15091778.857443681,7974508.18102161,1232.0
2045,102754.06373817868,29484.533304597822,73269.5304335808,7215806.0,5752962.0859362185,7261314.537704146,3333.294348556511,282.6901636204327,2544.211472583878,58731934.86223044,15925845.683552418,10436471.742782578,1246.0
2046,208047.1014089315,125619.76832908917,82427.3330798423,6599045.0,6363042.438362103,7265747.84817505,13159.222467089025,333.3294348556516,2999.964913700862,58734479.07370323,76575655.11904146,59791112.33544488,1201.0
2047,778085.2169341963,450828.2348978323,327256.98203636403,6078577.0,6866766.436324853,7270486.403865098,44623.769219309914,1315.9222467088912,11843.300220380073,58737479.038616836,236698689.82862306,216558846.0965498,1312.0
2048,2506363.8756989613,1449356.0701808447,1057007.8055181159,5477462.0,7402960.408492885,7292038.380711401,134612.62950501588,4462.376921930966,40161.39229737876,58749322.33883722,693466008.8390799,666523147.5250818,1308.0
2049,6579978.494612332,3364050.1496260534,3215928.344986281,5006433.0,7730485.597280421,7306278.235279495,304006.0690082146,13461.262950501574,121151.36655451386,58789483.73113455,1574079911.9995115,1513190345.0410714,1368.0
2050,8263016.688175588,1411655.7381945124,6851360.949981071,4470746.0,7967020.552118044,7322711.092339736,137325.9174603197,30400.60690082142,273605.4621073919,58910635.0976892,734950297.4794427,680894587.3016024,1147.0
2051,4429054.59283836,1433191.9863307464,2995862.6065076166,4076895.0,8202316.27544737,7349423.692487257,142786.37723954502,13732.591746032062,123593.32571428767,59184240.55979664,767675233.4953891,708266886.1977265,1133.0
2052,3838391.448736634,880313.806127634,2958077.6426089997,3629922.0,8434776.615425048,7424140.099077871,92174.24154451494,14278.637723954533,128507.73951559135,59307833.88551088,473863126.3777913,454761207.72257555,1222.0
2053,3725444.3262767047,1855074.8997531356,1870369.4265235683,3331938.0,8615260.34165644,7451231.971140145,187108.8456988775,9217.424154451532,82956.81739006375,59436341.62502657,957276077.4676216,929504228.4943846,1208.0
2054,8984389.637170453,5157248.142001696,3827141.4951687525,2889306.0,8851564.490858497,7474644.412978952,491091.7067463807,18710.884569887643,168397.9611289883,59519298.44241659,2544159677.902356,2448933533.7318897,1305.0
2055,10529397.390312353,279549.92635181913,10249847.463960534,2448891.0,8793613.193479996,7504181.221656481,32096.93476852798,49109.170674638066,441982.536071743,59687696.40354542,166098246.5544617,154344673.84263998,1228.0
2056,1972867.4991976435,1276449.6587102718,696417.8404873717,2164771.0,8987854.76706385,7563173.674940264,135036.5848166318,3209.6934768528063,28887.24129167512,60129678.939617164,713581823.3380876,669257924.0831603,1185.0
2057,4534202.607014419,1623039.6070623065,2911162.9999521137,1846543.0,9140549.365554327,7595260.726791208,171143.7972593642,13503.658481663137,121532.92633496872,60158566.180908844,862035201.0767816,849008986.2968168,1342.0
2058,9526950.040637167,5848818.124397976,3678131.916239196,1527763.0,9246849.172645317,7638468.020746942,577437.2697015288,17114.379725936364,154029.4175334275,60280099.10724398,2933459385.006546,2880936348.507643,1250.0
2059,23459980.395021576,11184288.92701128,12275691.468010299,1229209.0,8962349.578430174,7665460.463406103,1073226.5939266973,57743.72697015294,519693.5427313754,60434128.52477713,5653111913.8629265,5359932969.633452,1240.0
2060,47956934.4886445,25019482.71496131,22937451.773683175,846380.0,8310930.720063939,7705642.421025835,2313624.2543070484,107322.65939266972,965903.934534023,60953822.0675087,12467181179.522505,11561861271.535334,1252.0
2061,95012027.53039274,45780208.3788598,49231819.15153298,626204.0,6702489.188126177,7720812.004442696,4054879.3110717833,231362.42543070696,2082261.8288763582,61919726.00204276,24667308170.9467,20268286555.3589,1222.0
2062,141355474.2452392,52432651.78223943,88922822.4629998,547321.0,4457042.670119174,7714884.099042648,4510808.113151515,405487.9311071784,3649391.3799645985,64001987.83091923,34480045675.43041,22548625565.757427,1083.0
2063,195948694.57656845,93970584.70659794,101978109.86997065,431669.0,2652922.997568712,7685182.702697993,7652368.590947385,451080.8113151491,4059727.301836361,67651379.21088395,65504222888.42778,38255852954.73703,1198.0
2064,311815841.88914603,143236557.52050894,168579284.36863694,314873.0,1158455.687989243,7662096.492455239,10701566.487757264,765236.8590947383,6887131.73185262,71711106.5127201,121291593887.00356,53501772438.78649,1212.0
2065,367544166.0503281,124487350.46802092,243056815.5823074,263665.0,510977.8581217539,7658673.049811924,8713015.277468849,1070156.6487757284,9631409.838981614,78598238.24457307,201190123324.9168,43558611387.34395,1293.0
2066,181061426.08968127,2322656.224509245,178738769.86517197,205987.0,392485.8227266383,7646469.08363088,202688.51149296018,871301.5277468838,7841713.749721943,88229648.08355378,24354782515.636364,1006442557.4648035,1400.0
2067,3969353.036486041,7896.27805326271,3961456.758432777,179049.0,374191.9712344322,7650932.226039415,1216.7836804592823,20268.85114929595,182419.66034366452,96071361.83327621,1418503.6623764264,343918.4022964254,1148.0
2068,31555.922047638163,7506.685901938352,24049.236145699808,135751.0,407162.51806461794,7661167.895528793,1204.5337450737427,121.67836804592903,1095.1053124133596,96253781.49361971,573948.6245874625,137668.72536871667,1177.0
2069,30861.725244607842,8669.132153802646,22192.59309080518,85850.0,446880.14617072017,7671245.733677625,1408.1432136015487,120.45337450737472,1084.0803705663707,96254876.59893206,1713050.0667627675,310716.0680077299,1346.0
2070,37967.9141219836,12373.008475259527,25594.905646724117,54515.0,460443.74860501284,7688905.988029719,1947.6000809281675,140.81432136015437,1267.3288922413851,96255960.67930256,16227722.09474182,2878000.4046408073,1372.0
2071,55227.431453023266,17309.050263161782,37918.381189861495,24746.0,488350.35721942666,7690157.779334374,2727.479451338284,194.76000809281678,1752.8400728353465,96257228.00819527,26709721.43635361,7127397.256691387,1302.0
2072,65243.914224803426,14959.160463675831,50284.75376112759,19162.0,486271.2869573981,7696334.139163239,2431.279666820905,272.74794513382784,2454.7315062044536,96258980.84826796,13257018.293239115,5846398.334104545,1262.0
2073,74193.39035586937,30683.620569110302,43509.76978675905,16360.0,472211.7319125831,7711961.045253675,4763.913122669329,243.1279666820918,2188.1517001388165,96261435.57977425,34928064.076251045,17994565.613346606,1165.0
2074,170693.71313898094,88560.24429248886,82133.46884649215,7625.0,464204.55500495405,7725149.4823425,12834.520570265555,476.39131226693286,4287.521810402396,96263623.7314742,83811671.46597089,58357602.851327755,1163.0
2075,464304.68877578416,253509.70293823513,210794.98583754912,2559.0,447052.8978720296,7736408.520923682,34474.06158746007,1283.4520570265538,11551.068513238972,96267911.2532845,224630510.81446007,165645307.93730065,1345.0
2076,868791.1253879032,318835.8021666956,549955.3232212071,1749.0,412184.6918253391,7745449.6571316905,42596.365937365044,3447.4061587459896,31026.655428714053,96279462.32179803,282881028.4181513,207686829.68682548,1059.0
2077,1034116.8079793947,339073.7761318384,695043.0318475568,539.0,367568.87704502867,7756747.2682533255,45700.795568272304,4259.636593736484,38336.7293436285,96310488.97722635,318584111.0237117,222673977.84136182,1166.0
2078,1664513.2114366563,963029.186113688,701484.0253229695,183.0,323768.02356550825,7765721.641063193,117838.68124774206,4570.079556827209,41130.71601144503,96348825.70657,1031292301.4248866,583043406.2387096,1230.0
2079,2319174.7540726033,410583.8930966036,1908590.8609759996,0.0,249331.41226301328,7769552.224299353,54851.643442630935,11783.868124774202,106054.813122968,96389956.42258115,763903813.6929731,267828217.21315584,1286.0
2080,823359.3024535548,166311.09648489338,657048.2059686617,0.0,211218.28223791494,7777556.148996435,23129.625745869238,5485.164344263121,49366.47909836824,96496011.23570465,408463328.5549915,109368128.72934608,1256.0
