years,Objective,Costs,Damages,J,Y,M,I,Harvest,Redsnag,Greysnag,B,B_SDD,I_LDD
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,4035000.0,0.0,0.0
2021,35782.171170146445,0.0,35782.171170146445,22960906.0,14435982.0,4212612.0,3555.2988964937417,0.0,807.0,0.0,11311494.482468776,11311494.482468776,1293.0
2022,179588.82248546963,0.0,179588.82248546963,22444158.0,14553600.207831724,4608654.493271802,8550.567451493833,0.0,3555.2988964937417,807.0,37275983.0359938,36232837.2574692,1304.0
2023,462416.82665331697,0.0,462416.8266533171,22040105.0,14579296.573200215,4978916.125850407,29473.22051955479,0.0,8550.567451493833,4362.298896493741,142430822.0037014,141071102.59777424,1259.0
2024,1659536.5241533148,0.0,1659536.5241533148,21428506.0,14795034.447398055,5345775.0574014485,41194.03519755321,0.0,29473.22051955479,12912.866347987634,200316708.3723787,199100175.98776558,1374.0
2025,2294039.6071826625,0.0,2294039.6071826625,20839923.0,14964693.390752327,5724023.620594872,69854.29774615915,0.0,41194.03519755321,42386.0868675422,343670518.07657576,342856488.7307967,1283.0
2026,3863939.677577685,0.0,3863939.6775776846,20399820.0,15065546.374140127,5993922.656940612,160002.80987093574,0.0,69854.29774615915,83580.12206509532,795434823.0424201,793824049.3546754,1238.0
2027,8829890.799414037,0.0,8829890.799414039,19902536.0,15065320.42787357,6331898.67656694,757340.9985103805,0.0,160002.80987093574,153434.41981125527,3790015508.357535,3780699992.5519133,1201.0
2028,41100315.49218736,0.0,41100315.49218735,18019521.0,15776256.632729528,6757772.790000938,1134227.865005425,0.0,757340.9985103805,313437.2296821907,5775283993.864233,5664624325.0271,1303.0
2029,58049865.96528114,0.0,58049865.965281144,17536969.0,14972030.761173258,6967456.272782785,2168387.177847726,0.0,1134227.865005425,1070778.2281925697,11311153998.214655,10836055889.238573,1176.0
2030,107131176.87809514,0.0,107131176.87809514,16866307.0,13621595.09640851,7137379.158088423,3119084.1095731263,0.0,2168387.177847726,2205006.0931979977,17917706018.854115,15588980547.865688,1288.0
2031,148485595.0993001,0.0,148485595.0993001,16310961.0,11528622.700509533,7279752.410555296,6731297.527487541,0.0,3119084.1095731263,4373393.271045694,38595845263.84494,33650392637.437798,1219.0
2032,307825254.3254072,0.0,307825254.3254072,15681330.0,8415741.08128263,7209897.690615484,19257720.757885326,0.0,6731297.527487541,7492477.380618827,147058999068.04208,96281748789.4259,1371.0
2033,814725148.3801901,0.0,814725148.3801901,15090554.0,4006703.8241262045,7001110.152672142,35366446.59395628,0.0,19257720.757885326,14223774.908106364,443326333658.3965,176826452969.78152,1156.0
2034,1184077104.8842745,0.0,1184077104.8842745,14442721.0,1869065.7512054495,6895201.971201896,21499042.880991966,0.0,35366446.59395628,33481495.665991727,397363176581.04694,107488609404.96057,1321.0
2035,541569442.1068225,0.0,541569442.1068225,13729775.0,1558025.6710119038,6898606.381397014,3726810.743396486,0.0,21499042.880991966,68847942.25994825,59159999819.46697,18627763716.982418,1258.0
2036,95724372.45776147,0.0,95724372.45776147,13084472.0,1740430.9146870186,6900705.380634789,243089.4965659006,0.0,3726810.743396486,90346985.14093992,3498965678.4775867,1208452482.8294985,1399.0
2037,6799891.843174363,0.0,6799891.843174361,12548687.0,2145944.309558318,6902780.791536239,225802.57518929997,0.0,243089.4965659006,94073795.88433667,1921081150.0688522,1122427875.9465024,1317.0
2038,4413683.539255873,0.0,4413683.539255873,11601256.0,2955378.318477379,6902552.456508896,623959.5699423702,0.0,225802.57518929997,94316885.38090268,4973537232.916112,3113842849.711846,1191.0
2039,11248477.219460709,0.0,11248477.219460707,11089616.0,3258172.246769679,6902999.470545072,621827.0112149448,0.0,623959.5699423702,94542687.95609152,4814386691.492675,3103220056.074718,1183.0
2040,10894622.893010555,0.0,10894622.893010555,10429502.0,3745259.8564415746,6912412.2467213385,2067170.3793153616,0.0,621827.0112149448,95166647.526034,12373345363.774466,10329611896.576841,1248.0
2041,36307028.82758702,0.0,36307028.82758702,9741548.0,4261338.616262552,6913184.866710018,1960299.4919427794,0.0,2067170.3793153616,95788474.53724913,13628969703.066555,9794592459.713882,1381.0
2042,33935847.54505808,0.0,33935847.54505809,9149056.0,4617185.516504617,6931048.582547355,1752932.8010701907,0.0,1960299.4919427794,97855644.91656482,23615615419.193886,8758714005.350893,1190.0
2043,29356390.253025807,0.0,29356390.253025807,8570086.0,4997803.300954731,6948886.704653996,1255.0,0.0,1752932.8010701907,99815944.40850706,0.0,0.0,1255.0
2044,32818.87993652082,0.0,32818.87993652081,7952775.0,5609290.7473373385,6954479.258271451,2995.845956448972,0.0,1255.0,101568877.20957726,16607354.369735565,8819229.782244863,1232.0
2045,84560.13255179046,0.0,84560.13255179046,7215806.0,6335620.474929666,6963194.2408044385,3787.2049417839553,0.0,2995.845956448972,101570132.20957726,18597553.970341787,12706024.708919847,1246.0
2046,100646.01077745114,0.0,100646.01077745114,6599045.0,6942616.456325141,6970254.6138541475,16718.83055345842,0.0,3787.2049417839553,101573128.05553424,96318914.94730386,77589152.76729201,1201.0
2047,440692.6116424198,0.0,440692.6116424198,6078577.0,7443933.763354713,6973935.513838985,63208.873747671016,0.0,16718.83055345842,101576915.26047546,333077548.0382634,309484368.7383558,1312.0
2048,1602345.3792553605,0.0,1602345.3792553607,5477462.0,7961858.575570365,6995534.495679611,209693.07855239452,0.0,63208.873747671016,101593634.0910289,1090996211.314859,1041925392.7619653,1308.0
2049,5298753.6181472875,0.0,5298753.6181472875,5006433.0,8216915.461568058,7010683.562256335,518708.37759913615,0.0,209693.07855239452,101656842.96477666,2720855863.4970083,2586701887.995682,1368.0
2050,12350446.216788214,0.0,12350446.216788214,4470746.0,8265485.057992457,7028417.612086052,254517.5035109315,0.0,518708.37759913615,101866536.04332894,1389511596.112861,1266852517.5546572,1147.0
2051,5964057.0334546445,0.0,5964057.033454645,4076895.0,8388114.749098081,7058766.203552489,283788.1865121876,0.0,254517.5035109315,102385244.42092863,1567691241.587729,1413275932.5609424,1133.0
2052,6475362.845887402,0.0,6475362.845887402,3629922.0,8492580.038152527,7131850.381805177,196455.6189362511,0.0,283788.1865121876,102639761.92443886,1036525818.9414699,976168094.6812539,1222.0
2053,4459999.55100204,0.0,4459999.55100204,3331938.0,8575903.134695234,7158384.899717642,418803.7801712456,0.0,196455.6189362511,102923550.11095168,2245019418.999099,2087978900.8562424,1208.0
2054,9519084.837425627,0.0,9519084.837425627,2889306.0,8602646.839937689,7177794.48075628,1206111.255924314,0.0,418803.7801712456,103120005.72988766,6263422853.137537,6024031279.621576,1305.0
2055,27802552.694628164,0.0,27802552.694628164,2448891.0,7949299.439868922,7204361.478729481,82020.51742383477,0.0,1206111.255924314,103538809.51005927,447603901.9358825,403962587.11917603,1228.0
2056,1868258.9464504803,0.0,1868258.9464504803,2164771.0,8102708.094270069,7255083.841135757,384474.6269155195,0.0,82020.51742383477,104744920.7659835,1998929253.196349,1916448134.5775924,1185.0
2057,8524202.264909286,0.0,8524202.264909284,1846543.0,8018248.3787145605,7281657.704125095,525719.5797477319,0.0,384474.6269155195,104826941.28340685,2688040720.098205,2621887898.738648,1342.0
2058,11797410.509699056,0.0,11797410.509699056,1527763.0,7803176.111822585,7310926.88290279,1870020.1023984,0.0,525719.5797477319,105211415.91032262,9835211767.61452,9343850511.992002,1250.0
2059,42376464.87607892,0.0,42376464.87607891,1229209.0,6592631.710733438,7329861.360175442,3377032.0532290493,0.0,1870020.1023984,105737135.49007036,19897668023.99753,16878960266.14517,1240.0
2060,83777215.80437359,0.0,83777215.80437359,846380.0,4958638.8546679905,7357570.0990712475,6293506.932020882,0.0,3377032.0532290493,107607155.59246854,42762958808.63062,31461274660.104424,1252.0
2061,155834412.59991404,0.0,155834412.59991404,626204.0,3091528.509189886,7323927.8749150345,7911835.797513957,0.0,6293506.932020882,110984187.6456982,73172144120.59718,39553068987.56956,1222.0
2062,202441993.933708,0.0,202441993.93370804,547321.0,1583131.3669184395,7287677.487766114,6682157.297306062,0.0,7911835.797513957,117277694.57771821,73946581216.96887,33405371486.53029,1083.0
2063,154901190.525963,0.0,154901190.52596298,431669.0,892025.609022479,7209917.483079429,7950000.841072067,0.0,6682157.297306062,125189530.37523268,109465947016.6879,39744014205.36033,1198.0
2064,187764765.29824343,0.0,187764765.29824343,314873.0,667280.9371173522,7171549.797076055,5141667.674778492,0.0,7950000.841072067,131871687.67253874,139769086871.47165,25702278373.892574,1212.0
2065,102177719.94334175,0.0,102177719.94334175,263665.0,527476.6034927369,7126871.756827665,3320740.247689687,0.0,5141667.674778492,139821688.5136108,111141877153.3227,16597236238.448397,1293.0
2066,50550770.79500867,0.0,50550770.79500867,205987.0,491386.74121447897,7133354.604670354,748691.4743277696,0.0,3320740.247689687,144963356.1883889,10369530448.998474,3736457371.6388288,1400.0
2067,7227502.861882453,0.0,7227502.861882452,179049.0,491074.52232987096,7139003.432544254,1159.5325453322225,0.0,748691.4743277696,148284096.4360782,5947283.617720583,57662.72666113252,1148.0
2068,25207.106842413712,0.0,25207.106842413712,135751.0,526236.2408833643,7147111.181445446,1203.6016144784792,0.0,1159.5325453322225,149032787.91040713,598088.7583919881,133008.0723923789,1177.0
2069,24657.09182765089,0.0,24657.091827650882,85850.0,569100.8159100412,7154041.004804305,1425.21170889402,0.0,1203.6016144784792,149033947.44295147,1873158.2585832528,396058.5444700808,1346.0
2070,28984.784982235058,0.0,28984.784982235058,54515.0,583108.1225331732,7171228.486472284,2069.886233765806,0.0,1425.21170889402,149035151.0445669,17791113.168556347,3489431.1688290094,1372.0
2071,44325.103216451214,0.0,44325.103216451214,24746.0,606270.9966281542,7177109.415190526,3118.0998646973626,0.0,2069.886233765806,149036576.2562752,31199666.8252097,9080499.323486807,1302.0
2072,63318.70739699399,0.0,63318.70739699399,19162.0,602693.2861589935,7184397.2447072575,2952.4946484495763,0.0,3118.0998646973626,149038646.1425094,16799486.189077254,8452473.242247822,1262.0
2073,60022.65087190436,0.0,60022.65087190436,16360.0,596088.936572373,7192047.653990678,6791.870263864895,0.0,2952.4946484495763,149041764.2423742,46973208.22694464,28134351.319324423,1165.0
2074,130922.5327409128,0.0,130922.53274091278,7625.0,589362.3085871305,7202128.044845748,21677.12411135213,0.0,6791.870263864895,149044716.73702237,132797186.6123655,102570620.55676112,1163.0
2075,421632.78455522,0.0,421632.78455522,2559.0,556912.5213661973,7221914.430418036,60069.93222723468,0.0,21677.12411135213,149051508.6072856,422526437.78106534,293624661.13617164,1345.0
2076,1059235.502911938,0.0,1059235.502911938,1749.0,500278.746330039,7231863.310900667,77943.78868080067,0.0,60069.93222723468,149073185.7313968,544931503.8815311,384423943.4040015,1059.0
2077,1344133.1673077706,0.0,1344133.1673077706,539.0,426705.1580136027,7245419.637831428,67583.92309820089,0.0,77943.78868080067,149133255.6636241,649319395.2005494,332089615.4910045,1166.0
2078,1094004.2531915337,0.0,1094004.2531915337,183.0,365294.50503747835,7253342.671623552,166820.88212559005,0.0,67583.92309820089,149211199.4523051,1669431250.9591424,827954410.6279505,1230.0
2079,3000901.6173161482,0.0,3000901.6173161482,0.0,290219.38674004545,7248888.544878981,37978.79331452703,0.0,166820.88212559005,149278783.37540415,1209433997.7543008,183463966.57263592,1286.0
2080,533218.8298151799,0.0,533218.8298151799,0.0,253371.5690195286,7260557.537241957,17382.4626486929,0.0,37978.79331452703,149445604.25752994,321041093.388268,80632313.24346401,1256.0
2081,299112.59661274264,0.0,299112.59661274264,0.0,241064.16895633884,7260539.537241957,10970.300840684224,0.0,17382.4626486929,149483583.05084333,161549410.60518724,49101504.20342131,1150.0
2082,139712.38563235675,0.0,139712.38563235675,0.0,232774.09245651437,7260516.537241957,18301.540930802013,0.0,10970.300840684224,149500965.51349258,202820967.70886308,85167704.65401065,1268.0
2083,239279.26348879724,0.0,239279.26348879724,0.0,219926.63568482493,7260511.537241957,9079.630626896613,0.0,18301.540930802013,149511935.81433383,133183004.34339899,38843153.13448308,1311.0
2084,116829.03346104229,0.0,116829.03346104229,0.0,215800.75563216498,7260492.537241957,4794.949182752961,0.0,9079.630626896613,149530237.35526362,75993828.96350437,17669745.91376482,1261.0
2085,77909.81545409962,0.0,77909.81545409962,0.0,212996.47542247645,7260479.537241957,6277.975769356732,0.0,4794.949182752961,149539316.98589048,63361649.68289198,25599878.846783634,1158.0
2086,76983.8824846592,0.0,76983.88248465919,0.0,211840.68968059792,7260473.537241957,2415.0198304786422,0.0,6277.975769356732,149544111.93507382,66742640.656301625,6455099.152393128,1124.0
2087,39260.80351861833,0.0,39260.80351861833,0.0,210639.1692680126,7260452.537241957,2269.2083177012814,0.0,2415.0198304786422,149550389.91084293,26560075.42785358,5481041.588506366,1173.0
2088,37035.818766234705,0.0,37035.818766234705,0.0,209552.3498489633,7260408.537241957,2002.3490581364033,0.0,2269.2083177012814,149552804.93067276,18716708.094349395,3756745.2906820453,1251.0
2089,33641.827061862554,0.0,33641.82706186256,0.0,208805.46320644036,7260401.537241957,2395.643598024272,0.0,2002.3490581364033,149555074.13899148,25978251.887507815,5893217.990121387,1217.0
2090,42514.70371352503,0.0,42514.70371352503,0.0,207611.81960841716,7260379.537241957,1778.7461218934418,0.0,2395.643598024272,149557076.48804882,14514094.142091895,2788730.6094671953,1221.0
2091,28862.42638530802,0.0,28862.42638530802,0.0,207035.8651015313,7260347.537241957,1718.562371820212,0.0,1778.7461218934418,149559472.13164797,16859496.65852977,2712811.8591010612,1176.0
