years,Objective,Costs,Damages,J,Y,M,I,Harvest,Redsnag,Greysnag,B,B_SDD,I_LDD
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,4035000.0,0.0,0.0
2021,55887.37362440998,0.0,55887.37362440998,22960906.0,14435982.0,4212612.0,1937.044724661667,0.0,807.0,0.0,3220223.623308311,3220223.623308311,1293.0
2022,128091.1093510778,0.0,128091.1093510778,22444158.0,14555142.991559071,4608729.963716177,5567.529596664353,0.0,1937.044724661667,807.0,22477080.79713248,21317647.983321697,1304.0
2023,432898.7736879172,0.0,432898.7736879172,22040105.0,14583705.782840865,4979109.386038058,4989.527121442368,0.0,5567.529596664353,2744.044724661669,18932679.493044887,18652635.607211724,1259.0
2024,388370.1452856404,0.0,388370.14528564044,21428506.0,14822654.712048672,5347240.93615341,14873.903134231121,0.0,4989.527121442368,8311.574321326041,68406753.98850824,67499515.67115588,1374.0
2025,1182623.100679476,0.0,1182623.100679476,20839923.0,15016824.68090121,5727303.765853039,51976.17258836348,0.0,14873.903134231121,13301.101442768379,255045342.61813596,253465862.9418184,1283.0
2026,4208840.290864497,0.0,4208840.290864498,20399820.0,15132863.980450971,5999885.721784597,239015.80878733908,0.0,51976.17258836348,28175.00457699961,1191167453.780944,1188889043.9367044,1238.0
2027,19405154.307451796,0.0,19405154.307451796,19902536.0,15052599.304848682,6338968.788243626,243136.69353819574,0.0,239015.80878733908,80151.17716536307,1211945411.9876473,1209678467.6909773,1201.0
2028,19504048.781640414,0.0,19504048.781640414,18019521.0,16239174.570178838,6793087.800419956,721435.7783294286,0.0,243136.69353819574,319166.98595270363,3617617324.026657,3600663891.647106,1303.0
2029,56294811.01924828,0.0,56294811.01924828,17536969.0,15772634.924108343,7026152.501194387,2118860.5395162664,0.0,721435.7783294286,562303.6794908975,10698178385.850836,10588422697.5813,1176.0
2030,161759292.64373487,0.0,161759292.64373487,16866307.0,14175017.313484967,7246461.222696388,6819020.819472069,0.0,2118860.5395162664,1283739.4578203256,35595885388.007805,34088664097.360332,1288.0
2031,500778943.4370547,0.0,500778943.4370547,16310961.0,9596696.617005108,7317886.913825443,15227837.32124103,0.0,6819020.819472069,3402599.9973365883,99672711790.98569,76133091606.20511,1219.0
2032,1046171606.3306711,0.0,1046171606.3306711,15681330.0,4782867.058826064,7124939.130654817,2095329.7043280008,0.0,15227837.32124103,10221620.816808652,23281298679.29591,10469793521.639956,1371.0
2033,120175380.20139278,0.0,120175380.2013928,15090554.0,4126791.9041141267,7142479.707345706,2593134.776745025,0.0,2095329.7043280008,25449458.1380497,18814245708.183945,12959893883.725136,1156.0
2034,137382401.37663475,0.0,137382401.37663475,14442721.0,3375433.51408993,7143518.751554335,7838101.333377519,0.0,2593134.776745025,27544787.842377666,56956254304.269356,39183901666.88749,1321.0
2035,382511229.19198614,0.0,382511229.19198614,13729775.0,2260879.5115763405,7090354.347706391,3974941.318455341,0.0,7838101.333377519,30137922.61912259,43242113861.765816,19868416592.27682,1258.0
2036,162768580.39926627,0.0,162768580.39926627,13084472.0,2077034.0064099836,7079344.031887382,7047778.125531346,0.0,3974941.318455341,37976023.95250029,80232577683.1366,35231895627.65653,1399.0
2037,258380151.76474246,0.0,258380151.7647425,12548687.0,1977293.4932941755,6982739.219744201,9712510.29845577,0.0,7047778.125531346,41950965.27095533,115400497488.00362,48555966492.27912,1317.0
2038,349785520.94375974,0.0,349785520.94375974,11601256.0,2580375.7638186784,6920635.137595421,2384844.648326336,0.0,9712510.29845577,48998743.39648692,28069457752.228226,11918268241.631626,1191.0
2039,56766390.67614922,0.0,56766390.6761492,11089616.0,2883813.6694491548,6920761.137595421,3339941.7102241903,0.0,2384844.648326336,58711253.69494252,26976133972.335846,16693793551.121052,1183.0
2040,83757609.34958981,0.0,83757609.34958984,10429502.0,3366758.834482265,6930086.236891054,5352142.234423881,0.0,3339941.7102241903,61096098.343269214,36032275984.67406,26754471172.11946,1248.0
2041,126937620.00136448,0.0,126937620.0013645,9741548.0,3873332.3193834145,6930669.538262458,12190613.709335057,0.0,5352142.234423881,64436040.05349337,64575100379.748,60946163546.675606,1381.0
2042,377487614.90522707,0.0,377487614.90522707,9149056.0,4202170.517341015,6945964.684544173,40230493.125954434,0.0,12190613.709335057,69788182.28791676,266435524696.3101,201146515629.77258,1190.0
2043,1088265323.5148604,0.0,1088265323.5148604,8570086.0,4423510.558328123,6964695.053622481,1255.0,0.0,40230493.125954434,81978795.99725191,0.0,0.0,1255.0
2044,51282.38131954139,0.0,51282.38131954141,7952775.0,5035474.9350263765,6969809.67692423,3116.1483935185365,0.0,1255.0,122209289.12320682,18136352.049208153,9420741.967592733,1232.0
2045,137864.37526548354,0.0,137864.37526548354,7215806.0,5762609.618156807,6977608.747421998,8821.304399190007,0.0,3116.1483935185365,122210544.12320682,55208603.73368439,37876521.995949954,1246.0
2046,375281.6130666431,0.0,375281.6130666432,6599045.0,6364685.722864947,6984630.455075111,11471.690626856922,0.0,8821.304399190007,122213660.27159984,58678341.610999495,51353453.13428493,1201.0
2047,475813.4648906317,0.0,475813.4648906317,6078577.0,6870409.530720543,6988935.601070251,1312.0,0.0,11471.690626856922,122222481.5759992,0.0,0.0,1312.0
2048,60924.41402738308,0.0,60924.41402738306,5477462.0,7449601.95339792,7010635.178392886,3260.440175274958,0.0,1312.0,122233953.26662573,16462369.034188118,9762200.876374723,1308.0
2049,152929.6396245672,0.0,152929.6396245672,5006433.0,7900731.171660007,7028369.734094615,5285.154691459845,0.0,3260.440175274958,122235265.26662573,26018925.440335304,19585773.45729923,1368.0
2050,228118.7262306912,0.0,228118.72623069122,4470746.0,8409107.311559023,7051537.439504128,11344.302516960279,0.0,5285.154691459845,122238525.70680135,59297594.707704715,50986512.58480136,1147.0
2051,484236.73835927324,0.0,484236.73835927324,4076895.0,8760167.288069502,7083902.160476679,29783.6358079885,0.0,11344.302516960279,122243810.86149243,152021025.52601978,143253179.0399434,1133.0
2052,1248021.0308563397,0.0,1248021.0308563397,3629922.0,9119327.940706743,7142926.1609628415,56434.083650842265,0.0,29783.6358079885,122255155.16400936,284530758.7263642,276060418.25421125,1222.0
2053,2369845.5642416193,0.0,2369845.564241619,3331938.0,9329969.6612308,7175109.502149105,210939.72679439205,0.0,56434.083650842265,122284938.79981741,1072353176.9892291,1048658633.971962,1208.0
2054,8643886.176303022,0.0,8643886.176303022,2889306.0,9544966.87465358,7198482.311114633,117700.95639493721,0.0,210939.72679439205,122341372.88346861,598395852.7121572,581979781.9746866,1305.0
2055,4815859.988639983,0.0,4815859.988639983,2448891.0,9839377.351917757,7229281.218416062,529471.2439194424,0.0,117700.95639493721,122552312.61026348,2771338141.400467,2641216219.5972133,1228.0
2056,21419099.329777934,0.0,21419099.329777934,2164771.0,9545552.141438482,7294561.389408344,584082.5288667415,0.0,529471.2439194424,122670013.566658,3050827543.5986333,2914487644.3337264,1185.0
2057,23176161.56892277,0.0,23176161.56892277,1846543.0,9281386.402411155,7321457.141230365,659854.6861851523,0.0,584082.5288667415,123199484.81057738,3546379786.9687386,3292563430.9257784,1342.0
2058,25477789.410837173,0.0,25477789.410837173,1527763.0,8940838.86514432,7359589.616638661,265160.9847700225,0.0,659854.6861851523,123783567.33944353,1415498861.5104148,1319554923.8501208,1250.0
2059,9856631.839336509,0.0,9856631.839336509,1229209.0,8955300.642486336,7386648.968299784,9898.079824316372,0.0,265160.9847700225,124443422.02562965,45013470.90619855,43290399.121582024,1240.0
2060,365761.5897266748,0.0,365761.5897266748,846380.0,9280094.541948251,7435788.981302517,5611.526955234032,0.0,9898.079824316372,124708583.01039895,23329910.993620023,21797634.776170224,1252.0
2061,211511.02683965222,0.0,211511.0268396522,626204.0,9455037.2915716,7476375.70472392,1279.0144425618566,0.0,5611.526955234032,124718481.09022398,323920.08361701714,285072.2128092641,1222.0
2062,45725.89750643245,0.0,45725.89750643245,547321.0,9493170.21011473,7516832.771738211,3778.398729248215,0.0,1279.0144425618566,124724092.61717887,24470742.9118291,13476993.646241179,1083.0
2063,160531.5171339998,0.0,160531.51713399976,431669.0,9556966.264209742,7565790.600814083,1198.0,0.0,3778.398729248215,124725371.63162199,0.0,0.0,1198.0
2064,43372.31782193396,0.0,43372.31782193396,314873.0,9638605.779190129,7600669.085833566,2560.3423327003875,0.0,1198.0,124729150.03035006,12843087.297166359,6741711.663501977,1212.0
2065,100289.65932455414,0.0,100289.65932455414,263665.0,9660807.010423725,7628109.877662421,6704.114037414695,0.0,2560.3423327003875,124730348.03035006,37752025.86138269,27055570.18707342,1293.0
2066,275787.4029163583,0.0,275787.4029163584,205987.0,9659732.90241223,7681199.421946112,16642.52390218293,0.0,6704.114037414695,124732908.37268347,87574502.1880608,76212619.51091428,1400.0
2067,682598.9809454052,0.0,682598.9809454052,179049.0,9625242.95840383,7727132.394316498,64077.93859157282,0.0,16642.52390218293,124739612.48672096,337876535.53642255,314649692.9578629,1148.0
2068,2662917.7670944263,0.0,2662917.7670944263,135751.0,9539946.327719703,7792840.137442848,76714.11135040176,0.0,64077.93859157282,124756255.01062293,389481649.2465822,377685556.75200737,1177.0
2069,3155552.5469522458,0.0,3155552.5469522458,85850.0,9425681.316280657,7882122.54136745,1346.0,0.0,76714.11135040176,124820332.94921485,0.0,0.0,1346.0
2070,42022.719847687185,0.0,42022.719847687185,54515.0,9387873.490374856,7950966.140340152,1773.1918679210767,0.0,1346.0,124897047.06056495,3839489.717964688,2005959.339605386,1372.0
2071,59905.53281343313,0.0,59905.53281343312,24746.0,9349103.942115309,8018777.878441806,3719.865571497007,0.0,1773.1918679210767,124898393.06056495,19191815.53816268,12089327.857485015,1302.0
2072,142649.59311781602,0.0,142649.59311781605,19162.0,9284350.73585487,8086427.113215462,6993.681655948587,0.0,3719.865571497007,124900166.25243345,36430817.05995967,28658408.27974311,1262.0
2073,281564.05756965803,0.0,281564.05756965803,16360.0,9219011.780514466,8148579.307360171,7678.294015906349,0.0,6993.681655948587,124903886.1180041,36395758.73804952,32566470.079531733,1165.0
2074,308854.69997682754,0.0,308854.69997682754,7625.0,9153834.18976694,8215801.895474931,1264.981326524349,0.0,7678.294015906349,124910879.79965998,564401.8903615476,509906.6326217652,1163.0
2075,34190.83195203279,0.0,34190.83195203279,2559.0,9067278.14183642,8307131.806104601,1747.975317030429,0.0,1264.981326524349,124918558.09367645,3862981.838131436,2014876.5851521445,1345.0
2076,54857.02417127811,0.0,54857.02417127811,1749.0,9014577.485980444,8359967.605068267,1059.0,0.0,1747.975317030429,124919823.07500328,0.0,0.0,1059.0
2077,31793.35000206099,0.0,31793.35000206099,539.0,8950751.590635471,8424792.500413237,1710.3438571226266,0.0,1059.0,124921571.05031969,5106085.38592255,2721719.285613132,1166.0
2078,55353.00915777434,0.0,55353.00915777434,183.0,8873815.167856287,8501294.445132019,1556.9805662896297,0.0,1710.3438571226266,124922630.05031969,2764782.6492814547,1634902.831448162,1230.0
2079,44638.18000957279,0.0,44638.18000957279,0.0,8797974.003113745,8576797.629308295,1512.3546911454812,0.0,1556.9805662896297,124924340.39417656,1947350.9797625374,1131773.4557274287,1286.0
2080,43773.273920014966,0.0,43773.273920014966,0.0,8722778.53862451,8651516.739242021,2802.6182011694927,0.0,1512.3546911454812,124925897.37474337,14051178.073128529,7733091.005847471,1256.0
2081,94265.32906645659,0.0,94265.32906645659,0.0,8721059.793002147,8651498.739242021,2639.8168261253713,0.0,2802.6182011694927,124927409.7294347,10438154.43153095,7449084.130626846,1150.0
2082,93000.67577438231,0.0,93000.67577438231,0.0,8719316.311745161,8651542.206998091,1822.5449288968064,0.0,2639.8168261253713,124930212.34763588,3701622.350743088,2772724.6444840287,1268.0
2083,52769.09796637915,0.0,52769.09796637915,0.0,8718581.766816212,8651537.206998091,4365.693394410194,0.0,1822.5449288968064,124932852.16446182,25664855.198789496,15273466.972051017,1311.0
2084,160201.4508784271,0.0,160201.45087842713,0.0,8715308.07342179,8651518.206998091,2772.3836774267397,0.0,4365.693394410194,124934674.70939003,9406516.999291893,7556918.3871337725,1261.0
2085,92310.10859620899,0.0,92310.10859620899,0.0,8713628.856136631,8651505.206998091,12797.204161861864,0.0,2772.3836774267397,124939040.40278518,77024407.61057429,58196020.809309,1158.0
2086,543293.6896206005,0.0,543293.6896206005,0.0,8701896.491060987,8651499.206998091,1124.0,0.0,12797.204161861864,124941812.7864621,0.0,0.0,1124.0
2087,24732.4030270431,0.0,24732.403027043096,0.0,8701101.435725154,8652128.116112247,2304.954534676728,0.0,1124.0,124954609.99062377,13252845.166562747,5659772.673383621,1173.0
2088,73109.06009733678,0.0,73109.06009733678,0.0,8699346.667518362,8652509.187716186,2020.2945995271616,0.0,2304.954534676728,124955733.99062377,5633410.543149087,3846472.9976358386,1251.0
2089,59553.618797205694,0.0,59553.618797205694,0.0,8698403.869606093,8652502.187716186,2330.193425191317,0.0,2020.2945995271616,124958038.94515891,8388052.965373259,5565967.125956534,1217.0
2090,73839.02805039698,0.0,73839.028050397,0.0,8697112.739920685,8652480.187716186,1221.0,0.0,2330.193425191317,124960059.23975787,0.0,0.0,1221.0
2091,24410.304040953066,0.0,24410.304040953066,0.0,8695667.760617033,8653711.173650522,1176.0,0.0,1221.0,124962389.43318306,0.0,0.0,1176.0
2092,24317.804154654135,0.0,24317.804154654135,0.0,8684895.455135653,8664248.479131937,1524.6082016780326,0.0,1176.0,124963610.43318306,1916248.235741381,898041.0083901881,1345.0
2093,33344.25766764887,0.0,33344.25766764887,0.0,8661871.793079209,8686814.53298666,3926.69272034654,0.0,1524.6082016780326,124964786.43318306,25154848.94353335,13898463.601732766,1147.0
2094,144064.60619208007,0.0,144064.60619208007,0.0,8568404.62429434,8777316.482742492,9090.324784599063,0.0,3926.69272034654,124966311.04138558,50278669.25967342,38891623.922995515,1312.0
2095,383733.28574889223,0.0,383733.28574889223,0.0,8387965.640231614,8949794.027140325,18654.807845246974,0.0,9090.324784599063,124970237.73410538,97600863.01285936,87224039.22623453,1210.0
2096,845169.1242545751,0.0,845169.1242545752,0.0,8196375.3622114025,9123839.523888407,39110.07474794027,0.0,18654.807845246974,124979328.05889028,199441666.20229012,189275373.73970032,1255.0
