years,Objective,Costs,Damages,J,Y,M,I,Redsnag,Greysnag,B,B_SDD,I_LDD
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,4035000.0,4035000.0,1269.0
2021,35784.08963677823,0.0,35784.08963677823,22960906.0,14435982.0,4212612.0,6765.144848192116,807.0,0.0,28884000.900619842,27675724.24096072,1230.0
2022,345033.7126933118,0.0,345033.71269331186,22444158.0,14550430.15782772,4608606.801857949,15332.000051138459,6765.144848192116,807.0,71083131.89261861,70500000.2556921,1232.0
2023,824354.9483529405,0.0,824354.9483529405,22040105.0,14569645.531752622,4978550.427881844,52230.21328919511,15332.000051138459,7572.144848192116,255609165.96714768,254501066.44597623,1330.0
2024,2850966.004628139,0.0,2850966.004628139,21428506.0,14763348.269833695,5344725.476511622,71776.45954435461,52230.21328919511,22904.144899330615,355062219.3423155,353077297.7217714,1161.0
2025,3922011.9925180306,0.0,3922011.9925180306,20839923.0,14903941.563825946,5721384.62013077,120979.45321559056,71776.45954435461,75134.35818852537,599162521.7176677,598182266.0779537,1343.0
2026,6548144.6769086495,0.0,6548144.6769086495,20399820.0,14956120.206669977,5988843.664354954,276394.7793198372,120979.45321559056,146910.81773288074,1378111301.0615292,1375913896.5991824,1212.0
2027,14856367.660252858,0.0,14856367.660252858,19902536.0,14844870.079450121,6321747.4209748125,1306936.5564672423,276394.7793198372,267890.2709484698,6546902191.572902,6527767782.336206,1383.0
2028,68927465.39411937,0.0,68927465.39411937,18019521.0,15039737.838305485,6720900.698617679,1947046.938170616,1306936.5564672423,544285.0502683072,9961119229.90526,9729389690.853083,1169.0
2029,96580660.48669043,0.0,96580660.48669043,17536969.0,13521086.91074214,6906328.214179424,3631650.3171981485,1947046.938170616,1851221.6067355487,19383534653.677246,18152531585.990715,1144.0
2030,173848658.61254123,0.0,173848658.61254123,16866307.0,11122362.790722836,7005429.447230345,5024500.640695931,3631650.3171981485,3798268.5449061715,29895493280.1751,25116458203.479595,1209.0
2031,228209203.35774297,0.0,228209203.357743,16310961.0,8239766.056134205,7052757.047158485,9144644.838326452,5024500.640695931,7429918.862104334,61872525052.12319,45717049191.63209,1235.0
2032,393669187.3133995,0.0,393669187.3133995,15681330.0,5133680.006039864,6944548.594389218,21313302.876288895,9144644.838326452,12454419.502800262,199266453962.237,106559974381.44492,1308.0
2033,771498605.9945815,0.0,771498605.9945815,15090554.0,2399189.3332062354,6729625.057029175,29979688.45039681,21313302.876288895,21599064.3411268,486939063544.76526,149892612251.98434,1166.0
2034,909356227.6596806,0.0,909356227.6596808,14442721.0,1520555.240306018,6676736.505560492,22061225.711118788,29979688.45039681,42912367.21741575,338608956681.1895,110299323555.59384,1361.0
2035,558172765.6876115,0.0,558172765.6876115,13729775.0,1575355.1872959672,6185498.736678464,5631132.626644505,22061225.711118788,72892055.66781236,61452235277.979774,28149333133.222645,1266.0
2036,100707618.6112763,0.0,100707618.6112763,13084472.0,1930777.1226019275,6187310.475436056,441088.4439284411,5631132.626644505,94953281.37893125,5309384199.924315,2199332219.642212,1222.0
2037,8959582.806086985,0.0,8959582.806086985,12548687.0,2342468.3992615207,6189237.81413863,459526.7285397049,441088.4439284411,100584414.00557579,3397945911.188486,2291758642.6985292,1175.0
2038,7457982.059673198,0.0,7457982.0596731985,11601256.0,3173998.9238224505,6187754.659172771,1235131.9419429838,459526.7285397049,101025502.44950452,10452452239.978025,6168994709.714926,1333.0
2039,18460043.838356927,0.0,18460043.838356923,11089616.0,3412332.5839980952,6189475.171922897,816048.9083949334,1235131.9419429838,101485029.17804366,9773119124.753904,4074339541.9746923,1181.0
2040,13656783.342783116,0.0,13656783.342783116,10429502.0,3854529.7140068673,6199635.819662596,2919201.7151988773,816048.9083949334,102720161.11998719,16419728544.025358,14589678575.994453,1266.0
