years,Objective,Costs,Damages,J,Y,M,I,Redsnag,Greysnag,B,B_SDD,I_LDD
2041,45269921.654368944,0.0,45269921.65436895,9741548.0,4320626.316942097,6200458.264075415,3221822.03303795,2919201.7151988773,103536210.02838165,18165971696.563473,16102580165.189808,1306.0
2042,57609550.76969943,0.0,57609550.76969943,9149056.0,4704703.299351905,6218473.937877338,5127261.732837939,3221822.03303795,106455411.74358025,38786356663.28982,25629653664.189774,1331.0
2043,107292538.68872137,0.0,107292538.68872137,8570086.0,5107058.748488162,6237044.138343836,1257.0,5127261.732837939,109677233.77661888,0.0,0.0,1257.0
2044,33632.86799939594,0.0,33632.86799939594,7952775.0,5718652.497238133,6242572.389593865,2964.9457769853734,1257.0,114804495.50945665,16510947.62773803,8329728.88492681,1299.0
2045,79617.99979654388,0.0,79617.9997965439,7215806.0,6443439.901903769,6252892.03915127,3806.4615430896706,2964.9457769853734,114805752.50945665,18347607.925768238,12787307.715448331,1249.0
2046,96987.10832011212,0.0,96987.10832011212,6599045.0,7050373.339312774,6259973.2302210275,17361.78098150107,3806.4615430896706,114808717.45523417,96925028.00212848,80328904.90750507,1296.0
2047,440213.8890405106,0.0,440213.8890405106,6078577.0,7551130.3451337805,6263416.90431926,66766.85364213774,17361.78098150107,114812523.91677715,347117815.87984276,327564268.2106877,1254.0
2048,1619522.3635487023,0.0,1619522.3635487023,5477462.0,8062331.68579882,6288340.424924038,224521.81857708565,66766.85364213774,114829885.69775799,1154561674.7926617,1116604092.885428,1201.0
2049,5489577.649778448,0.0,5489577.649778448,5006433.0,8297291.154200334,6304284.009214478,567250.9407264291,224521.81857708565,114896652.55140032,2921120104.072553,2829879703.632143,1275.0
2050,13522323.558154976,0.0,13522323.558154976,4470746.0,8280506.477505941,6325122.911297717,281194.35615197034,567250.9407264291,115121174.3699772,1519059969.9058225,1399151780.759858,1364.0
2051,6765426.357955312,0.0,6765426.357955312,4076895.0,8371471.451416192,6355972.485168079,331887.22896932205,281194.35615197034,115688425.31070356,1734696413.7575672,1652476144.8466172,1392.0
2052,7976867.546044655,0.0,7976867.546044655,3629922.0,8427009.243597195,6432679.190448836,224973.2257688127,331887.22896932205,115969619.66685593,1210648596.2985513,1118641128.8440642,1245.0
2053,5382164.9399151895,0.0,5382164.9399151895,3331938.0,8478283.366772395,6460040.4955369625,497488.5860457432,224973.2257688127,116301506.89582476,2564780060.3451695,2481407930.2287145,1207.0
2054,11936882.632572867,0.0,11936882.632572867,2889306.0,8432371.93780138,6475381.854042793,1373223.0187473237,497488.5860457432,116526480.12159374,7417288688.349854,6859875093.736578,1248.0
2055,33845258.98274881,0.0,33845258.98274881,2448891.0,7640167.618763603,6501397.511673664,91468.26372456584,1373223.0187473237,117023968.70764022,507679688.30162156,450986318.6228319,1271.0
2056,2191464.7179697175,0.0,2191464.7179697175,2164771.0,7813023.622672575,6523321.814296747,426114.4909794327,91468.26372456584,118397191.72638704,2215359455.7529283,2123767454.897156,1361.0
2057,9998543.91461205,0.0,9998543.91461205,1846543.0,7698524.5050296,6549405.55671732,569906.4476188422,426114.4909794327,118488659.99011202,2966041978.776568,2843472238.0942245,1212.0
2058,13248853.322263837,0.0,13248853.322263837,1527763.0,7435949.93279592,6589930.1326370975,2007292.4753944862,569906.4476188422,118914774.48109081,10633543001.584715,10030852376.972414,1122.0
2059,46884655.115492694,0.0,46884655.115492694,1229209.0,6090221.189955955,6609510.115361612,3562704.6374028926,2007292.4753944862,119484680.92870991,21290832416.026974,17807618187.014526,1181.0
2060,83855844.5685876,0.0,83855844.5685876,846380.0,4459522.941457394,6642510.386006827,5869139.094727999,3562704.6374028926,121491973.4041048,44767073163.07444,29339545473.639996,1230.0
2061,134627061.44470483,0.0,134627061.44470483,626204.0,2580903.2996044285,6642227.077975991,7807805.448097472,5869139.094727999,125054678.04150763,68556960609.66015,39032452240.48736,1315.0
2062,190702353.77401063,0.0,190702353.77401063,547321.0,1283247.1119392507,6624513.6932899,5063667.670591352,7807805.448097472,130923817.13623524,73444751351.2518,25311963352.956688,1275.0
2063,134952562.93808466,0.0,134952562.9380847,431669.0,826847.4581876699,6494337.097035483,4151630.521628103,5063667.670591352,138731622.58433244,82103255698.45898,20751882608.1405,1254.0
2064,90866483.21920587,0.0,90866483.21920587,314873.0,630090.7887955785,6506114.018525598,5014516.920635932,4151630.521628103,143795290.25492454,74310298085.63475,25066499603.179665,1217.0
2065,140646417.4875587,0.0,140646417.4875587,263665.0,527214.5624579486,6503627.1781487465,1715393.076626836,5014516.920635932,147946920.7765514,102811557845.0247,8570805383.134199,1232.0
2066,31702557.761560775,0.0,31702557.761560783,205987.0,536254.190313395,6494907.173349639,248432.35863538593,1715393.076626836,152961437.69718847,5401071088.836451,1235816793.1769326,1269.0
2067,11003090.95866583,0.0,11003090.958665831,179049.0,547820.7357575286,6497930.56961026,1272.4428218549306,248432.35863538593,154676830.77381513,1965070.5800840866,402214.1092746689,1192.0
2068,26804.37942147679,0.0,26804.37942147679,135751.0,581838.7723608454,6507043.243598674,1269.8977231376614,1272.4428218549306,154925263.13245013,673740.9094280123,189488.6156882894,1232.0
2069,24099.864135499123,0.0,24099.864135499123,85850.0,624183.0373294662,6514518.513824204,1346.5840948762186,1269.8977231376614,154926535.57527182,1948496.9825054845,432920.4743810889,1260.0
2070,28801.00169941602,0.0,28801.00169941602,54515.0,636534.3543191969,6533358.612739569,2067.533272388897,1346.5840948762186,154927805.47299567,17180270.317413367,3867666.3619444394,1294.0
2071,44334.75484161712,0.0,44334.75484161711,24746.0,661683.8612667358,6537145.806210065,3266.9123424473128,2067.533272388897,154929152.05709055,31330505.07256438,9974561.712236468,1272.0
2072,66743.81636591002,0.0,66743.81636591002,19162.0,660955.1674983652,6541388.263674656,3074.1871090386967,3266.9123424473128,154931219.59036258,17751831.066087276,9215935.545193436,1231.0
2073,56438.6302932122,0.0,56438.63029321219,16360.0,652707.7919936514,6550567.662003988,7343.539382489847,3074.1871090386967,154934486.5027047,49190110.237338856,30307696.912449136,1282.0
2074,140739.28231217255,0.0,140739.28231217255,7625.0,645304.2734825024,6560808.024461026,23379.216531885253,7343.539382489847,154937560.68981454,144329157.8272792,110286082.65942644,1322.0
2075,422139.4660642318,0.0,422139.4660642318,2559.0,614488.0402186693,6576060.552603005,73074.15555312805,23379.216531885253,154944904.2291957,457627136.53194207,358890777.7656398,1296.0
2076,1285686.8032997858,0.0,1285686.8032997858,1749.0,548704.9616280986,6583980.188183949,95418.01514237162,73074.15555312805,154968283.44572833,668211022.9145365,470850075.71185744,1248.0
2077,1720841.4454462244,0.0,1720841.4454462242,539.0,465039.6121720171,6593565.613698011,101122.48805890114,95418.01514237162,155041357.60128108,793384194.5594761,499017440.2945059,1319.0
2078,1742970.7209982455,0.0,1742970.7209982455,183.0,398950.06867282995,6600938.374321456,242656.76013517127,101122.48805890114,155136775.61642435,2500274924.0454845,1206668800.675849,1323.0
2079,4224482.69081136,0.0,4224482.690811359,0.0,286391.7394640377,6624974.537847115,75414.16851410134,242656.76013517127,155237898.10448352,1703006193.442406,370340842.57050943,1346.0
2080,1287658.7537860791,0.0,1287658.7537860791,0.0,239357.00069528754,6636548.802157635,52403.556528082256,75414.16851410134,155480554.86461738,614130410.7351073,255282782.64041153,1347.0
2081,729766.3974076742,0.0,729766.3974076742,0.0,213295.2115224892,6636545.802157635,18820.49372326442,52403.556528082256,155555969.03313163,476156240.18717515,88417468.61632165,1137.0
2082,291476.88488133816,0.0,291476.88488133816,0.0,209143.09459241707,6636526.802157635,5644.681164275288,18820.49372326442,155608372.58966056,329837674.08013135,21963405.821376428,1252.0
2083,87136.41090197276,0.0,87136.41090197276,0.0,205011.38923627653,6636504.802157635,5493.3132460514435,5644.681164275288,155627193.0833827,43016300.015533686,20986566.230257157,1296.0
2084,93286.90419816799,0.0,93286.90419816802,0.0,201074.94627612754,6636496.802157635,6503.957258596643,5493.3132460514435,155632837.76454827,49486278.94218466,25749786.292983156,1354.0
2085,122313.43018675105,0.0,122313.43018675105,0.0,196859.48398461624,6636462.802157635,6771.1709271521095,6503.957258596643,155638331.07779333,89429483.47987412,28210854.63576058,1129.0
2086,141636.60054197558,0.0,141636.60054197564,0.0,195240.1480000989,6636449.802157635,2441.3470823883517,6771.1709271521095,155644835.03505298,75577166.7103934,6106735.411941746,1220.0
2087,35634.0823218552,0.0,35634.0823218552,0.0,194020.73278809641,6636430.802157635,1942.895659948875,2441.3470823883517,155651606.2059792,27359508.62694654,4064478.299744378,1130.0
2088,28323.398459712927,0.0,28323.39845971293,0.0,193194.60436554498,6636402.802157635,1878.0276544147105,1942.895659948875,155654047.55306223,15853869.40788142,2945138.272073613,1289.0
2089,29360.033820770044,0.0,29360.033820770044,0.0,192590.59600200507,6636381.802157635,1991.550375707582,1878.0276544147105,155655990.44872257,24520399.892009415,3737751.8785379333,1244.0
2090,27454.089715630245,0.0,27454.089715630245,0.0,191831.1139628815,6636354.802157635,1468.6458238192656,1991.550375707582,155657868.47637582,12134995.410504391,1403229.1190963062,1188.0
2091,19389.992890741323,0.0,19389.992890741323,0.0,190416.94830688153,6637458.321989779,1584.7289090364595,1468.6458238192656,155659860.02675238,13786890.536032027,1703644.545182325,1244.0
2092,19454.979324805798,0.0,19454.979324805798,0.0,188712.90088903983,6638818.635379222,1685.5957369687953,1584.7289090364595,155661328.6725761,26787105.32308962,2227978.684843957,1240.0
2093,22392.17223865057,0.0,22392.17223865057,0.0,187655.50089915577,6639446.83807661,1561.285338355659,1685.5957369687953,155662913.40148523,24634692.963494845,2176426.6917783027,1126.0
2094,22024.258375569712,0.0,22024.258375569712,0.0,187152.15256787522,6639477.901069563,1797.57998158606,1561.285338355659,155664598.9972221,28518684.302630443,2577899.907930267,1282.0
2095,23669.084444671767,0.0,23669.084444671767,0.0,181123.21424993873,6644945.259405876,1608.2684841068744,1797.57998158606,155666160.28255948,10428270.734131752,1076342.4205343998,1393.0
2096,17864.55592268676,0.0,17864.55592268676,0.0,177191.16290379383,6648638.042267947,1389.5501871994916,1608.2684841068744,155667957.8625414,4900253.648913735,527750.9359974413,1284.0
2097,14750.619142395262,0.0,14750.619142395262,0.0,166078.7843782222,6659606.870606328,1519.780388967773,1389.5501871994916,155669566.13102636,13171534.257290838,1033901.9448388516,1313.0
2098,15893.607240019715,0.0,15893.60724001971,0.0,159302.0669841253,6666149.206584687,1820.777996061715,1519.780388967773,155670955.68121332,30807776.517949373,2688889.980308544,1283.0
2099,20051.94042307012,0.0,20051.94042307012,0.0,153740.02684637828,6671144.468726378,1611.4433368012935,1820.777996061715,155672475.4616015,21726711.984387368,1142216.6840064612,1383.0
2100,17439.366888301818,0.0,17439.366888301818,0.0,151788.555680152,6672799.969045853,1651.3618424619767,1611.4433368012935,155674296.23959756,28163151.9177665,1866809.2123098534,1278.0
2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,4035000.0,4035000.0,1269.0
2021,117367.11371350296,85161.43304040266,32205.680673100418,22960906.0,14435982.0,4212612.0,6211.630363372928,726.3000000000008,0.0,25995600.81055793,24908151.816864632,1230.0
2022,464745.5293997118,181536.81621930402,283208.713180408,22444158.0,14550968.330071278,4608621.421672138,12872.387669238404,5590.467327035627,726.3000000000008,58726756.81942559,58201938.34619194,1232.0
2023,1208857.5290648125,591265.7680415326,617591.7610232802,22040105.0,14572556.479988609,4978651.884085512,39755.252378021345,11585.148902314542,6316.7673270356345,193102287.1058911,192126261.89010623,1330.0
2024,2680646.4809970227,738526.7855413079,1942119.6954557165,21428506.0,14778224.316819325,5345336.794876806,49510.532693693436,35779.727140219016,17901.916229350132,243209702.37833473,241747663.46846768,1161.0
2025,3560443.9328147634,1141161.8541418014,2419282.0786729595,20839923.0,14939949.52337248,5723126.055968132,75588.13017161563,44559.479424324054,53681.6433695692,371997975.95699114,371225650.85807806,1343.0
2026,6087768.928151589,2429338.345476779,3658430.582674806,20399820.0,15035311.920702498,5992796.707956659,155961.31628059695,68029.31715445407,98241.12279389387,775265081.8791494,773746581.4029872,1212.0
2027,18634093.8344704,11125056.17541567,7509037.659054726,19902536.0,15037979.678853553,6331975.422999407,665873.2364666453,140365.1846525374,166270.43994834716,3328135085.2015376,3322451182.333212,1383.0
2028,46698264.18666505,15083143.714503363,31615120.47216166,18019521.0,15826007.921195032,6764288.247552562,909985.3977868833,599285.9128199805,306635.6246008868,4577506965.949557,4544081988.934414,1169.0
2029,68240317.16186485,26838095.509616107,41402221.652248815,17536969.0,15185998.87244715,6989322.182384734,1603217.2330466753,818986.858008194,905921.5374208667,8199313663.490251,8010366165.2333975,1144.0
2030,108339709.43370633,37671760.232071,70667949.20163527,16866307.0,14122885.02298102,7181824.959954416,2265053.8059272035,1442895.509742015,1724908.3954290568,11971102846.466625,11319224029.635994,1209.0
2031,174207580.83564618,78386776.1022363,95820804.7334097,16310961.0,12461048.481641136,7340325.896100439,4605076.434748063,2038548.425334473,3167803.9051710493,25261336281.89659,23019207173.740326,1235.0
2032,446631948.63305604,258467717.48546046,188164231.14759576,15681330.0,9560771.754647784,7370821.866317187,14237608.268653437,4144568.791273266,5206352.330505521,90942867297.36148,71181501343.26756,1308.0
2033,1060109665.332198,497995710.31905276,562113955.0131451,15090554.0,4944774.925860285,7264979.374769908,26392620.79795924,12813847.441788185,9350921.121778792,294748687761.8336,131957273989.79588,1166.0
2034,1136299034.6358929,289412073.3872067,846886961.2486863,14442721.0,2294578.9593483764,7059969.748773079,15372265.969401795,23753358.718163166,22164768.563567054,266216171437.99203,76854524847.00835,1361.0
2035,421667872.37902915,49352285.31895157,372315587.0600774,13729775.0,1693352.9483065787,7008163.695789553,2783292.09282321,13835039.372461503,45918127.281730436,38276728698.74018,13910130464.116064,1266.0
2036,71175923.45090765,3831385.2519410267,67344538.19896649,13084472.0,1822215.1248484848,6998782.979430455,256501.8806782421,2504962.883540884,59753166.654191926,2317113108.498854,1276399403.3912065,1222.0
2037,8873775.51108885,3377516.8450387474,5496258.666050105,12548687.0,2218798.994437393,7000136.874951125,230708.79102042847,230851.69261041813,62258129.537732914,1815091192.1118777,1147668955.102142,1175.0
2038,15191692.36942799,10823640.448020162,4368051.9214078365,11601256.0,3021530.7420046334,7002761.023351817,699826.1333187975,207637.91191838612,62488981.2303429,4551176542.831422,3492465666.5939927,1333.0
2039,24671664.778370306,12535210.553036999,12136454.225333298,11089616.0,3293565.3424473624,7003155.023351817,812520.8895787275,629843.5199869159,62696619.1422615,4771252558.045742,4056699447.8936377,1181.0
2040,48322605.51916126,36509042.3955235,11813563.123637747,10429502.0,3740423.525533687,7012597.012657143,2132760.227587162,731268.8006208538,63326462.662248485,14626248498.466658,10657471137.93579,1266.0
2041,71505573.86395848,34144985.683519796,37360588.18043866,9741548.0,4160699.9569079066,7015827.481288671,1929109.302227856,1919484.2048284414,64057731.46286948,12394980949.115446,9639016511.139338,1306.0
2042,102753354.81390756,60956328.135425635,41797026.67848194,9149056.0,4493463.949137357,7036546.521438818,3291855.444968652,1736198.3720050685,65977215.66769778,20681974158.182102,16452622224.843252,1331.0
2043,71422111.41668491,11009.30974731044,71411102.10693759,8570086.0,4829235.888081669,7054772.464883237,1257.0,2962669.9004717935,67713414.03970288,0.0,0.0,1257.0
2044,54548.08421517087,24278.503015714537,30269.58119945632,7952775.0,5441160.357919821,7059983.995045031,2735.835527433551,1131.2999999999963,70676083.94017425,15055931.47912837,7184177.637167776,1299.0
2045,95030.3996308185,28591.03212661922,66439.36750419925,7215806.0,6168744.163622135,7067735.353815316,3307.974171591117,2462.2519746901944,70677215.24017471,15296118.945727,10294870.85795568,1249.0
2046,202279.4063313121,124218.4539751304,78060.95235618172,6599045.0,6779011.959350749,7071992.354937403,13431.221687519912,2977.176754432022,70679677.49214932,75624345.82383905,60676108.43759923,1296.0
2047,760640.6396107298,450757.2890115308,309883.35059919907,6078577.0,7283095.042553924,7076055.556725174,45910.2923326602,12088.09951876787,70682654.66890347,241191412.00319928,223281461.6632997,1254.0
2048,2477061.347025806,1458729.4947629482,1018331.8522628571,5477462.0,7817298.061280949,7098449.628454532,138988.15303801856,41319.263099393866,70694742.76842262,713070428.1475254,688935765.1900947,1201.0
2049,6586470.482610337,3482729.445277976,3103741.0373323625,5006433.0,8135264.738471683,7115089.328817134,319218.4075101748,125089.33773421768,70736062.03152144,1626096650.7554386,1589717037.5508685,1275.0
2050,8450893.119049516,1502422.146112195,6948470.972937316,4470746.0,8344941.1251104055,7136687.485163671,147149.76322346178,287296.56675915595,70861151.36925566,771387590.695187,728928816.1173092,1364.0
2051,4770213.913832375,1579763.246814729,3190450.667017645,4076895.0,8567036.894434288,7166154.760765794,156653.69509693683,132434.78690111547,71148447.93601552,821936419.317533,776308475.4846829,1392.0
2052,4363464.2188611915,994406.2635504972,3369057.9553106963,3629922.0,8788833.764565649,7237605.377977626,102583.38978844913,140988.32558724307,71280882.72291611,519131501.1767924,506691948.9422458,1245.0
2053,4293922.333481177,2077348.8742884463,2216573.4591927305,3331938.0,8959790.355618937,7264472.934672377,207042.1384225069,92325.05080960454,71421871.04850376,1064498985.6188375,1029175692.1125388,1207.0
2054,10234842.623310074,5792427.614774503,4442415.008535573,2889306.0,9176739.282970615,7285545.70190454,547403.6321054401,186337.92458025637,71514196.0993133,2812749144.9051995,2730778160.52721,1248.0
2055,12087211.88924366,320447.3624481223,11766764.526795542,2448891.0,9060045.371630598,7315524.863464507,36783.99719086567,492663.2688948961,71700534.02389337,184895019.82608056,177564985.9543276,1271.0
2056,2302331.0625010007,1506972.930880459,795358.1316205413,2164771.0,9248155.935593383,7375854.52985072,159303.45124047226,33105.597471779154,72193197.29278809,816931808.6691566,789712256.2023611,1361.0
2057,5316769.358843707,1906275.7501900392,3410493.608653671,1846543.0,9375776.960631615,7409058.658866232,200520.00329972862,143373.10611642498,72226302.89026025,1015049745.6597589,996540016.4986475,1212.0
2058,11172354.357433354,6881372.196654504,4290982.160778854,1527763.0,9447212.070068058,7459451.4958763765,676294.6328482919,180468.00296975655,72369675.99637619,3434023525.4320526,3375863164.2414546,1122.0
2059,27686482.06195888,13339334.25771262,14347147.804246262,1229209.0,9061025.378424153,7487916.77183015,1272374.48936513,608665.1695634584,72550143.99934593,6610167309.7947035,6355967446.825659,1181.0
2060,56898149.05914252,30024803.46445739,26873345.594685126,846380.0,8221251.21396381,7522235.656362852,2747929.5272461725,1145137.0404286108,73158809.16890952,14713146325.646658,13733497636.230808,1230.0
2061,112736849.32104062,53996248.84193949,58740600.47910115,626204.0,6345625.0280731665,7545536.556040445,4735735.533379915,2473136.574521543,74303946.20933862,29094578093.75284,23672102666.899525,1315.0
2062,163528564.90104407,60064532.85536105,103464032.04568303,547321.0,4020413.2384195323,7568881.654647653,5163328.3253040295,4262161.980041945,76777082.78385969,39999396552.28808,25810266626.52011,1275.0
2063,206517959.5660572,96670883.17600366,109847076.39005345,431669.0,2135890.641360685,7567210.363857491,7774443.288808824,4646995.492773626,81039244.76390217,75118673590.5254,38865946444.04401,1254.0
2064,273023377.4292778,110133200.73715238,162890176.6921256,314873.0,991583.8426992815,7572737.353488462,8340806.532415705,6996998.95992795,85686240.25667563,123522974467.03773,41697947662.07886,1217.0
2065,311939570.6171985,141821338.38232452,170118232.23487422,263665.0,552456.4695036006,7570650.564644495,9373333.71420763,7506725.879174168,92683239.21660367,158774728124.087,46860508571.03798,1232.0
2066,220001040.127441,4119697.330054198,215881342.79738677,205987.0,429875.3733234016,7577803.991069576,300830.66888193233,8436000.342786804,100189965.0957778,26183650467.88729,1497808344.4096677,1269.0
2067,10499168.001931906,8418.303409950819,10490749.698521953,179049.0,424254.09259244817,7530766.555657404,1262.5989366027713,270747.60199373966,108625965.43856432,2000151.133321877,352994.6830138791,1192.0
2068,34124.762106540016,7613.999873020112,26510.762233519927,135751.0,458287.06300658116,7539898.98630667,1250.3773261800163,1136.3390429425033,108896713.0405579,599416.342259739,91886.6309000622,1232.0
2069,29612.229997169125,8305.760612498147,21306.469384670992,85850.0,499394.54826182226,7548634.158701203,1323.56031583814,1125.339593562008,108897849.37960081,1775298.5263178393,317801.579190677,1260.0
2070,37350.65917929785,11811.883266621122,25538.775912676752,54515.0,513650.4124923013,7565598.734154935,1879.1700410466876,1191.2042842543178,108898974.71919484,15298458.192400942,2925850.205233451,1294.0
2071,51670.20764457909,16147.468378977512,35522.73926560159,24746.0,539219.4092740453,7569172.221207856,2581.9491370316364,1691.253036942021,108900165.92347865,25475231.475146197,6549745.685158234,1272.0
2072,60455.53205826216,14151.209452120143,46304.32260614205,19162.0,541025.1730711504,7571575.186704398,2362.4648636445017,2323.7542233284876,108901857.17651601,12674100.961097246,5657324.318222496,1231.0
2073,68071.56621190443,28974.25148033516,39097.31473156926,16360.0,528711.9303744987,7585536.303865893,4620.539907698261,2126.218377280048,108904180.93073915,33970996.41174154,16692699.53849125,1282.0
2074,155877.04895693492,82695.75176674934,73181.29719018565,7625.0,522552.2001416544,7597178.7280902695,12243.391380925814,4158.485916928416,108906307.1491165,81727770.59072925,54606956.9046288,1322.0
2075,443081.1220175285,257983.79793778044,185097.32407974816,2559.0,505176.1620288951,7609182.698964575,34986.804505428525,11019.052242833195,108910465.63503295,215815724.85182723,168454022.5271425,1296.0
2076,893358.2230739184,365734.19655365014,527624.0265202685,1749.0,464819.51560368086,7618800.901596529,48316.16588905287,31488.124054885706,108921484.68727614,289169450.4497152,235340829.44526607,1248.0
2077,1175739.5695287618,445863.8031612452,729875.7663675165,539.0,414517.90463350865,7629167.842833841,57922.18176306395,43484.5493001479,108952972.81133127,363411495.00804275,283015908.81531745,1319.0
2078,2349438.937051749,1438591.3328016954,910847.6042500534,183.0,359316.54005099303,7635547.547048336,172707.15142038456,52129.963586757134,108996457.36063118,1307639034.9153063,856920757.1019256,1323.0
2079,2958249.456090105,393019.7473067174,2565229.7087833863,0.0,271031.9084318038,7637029.665690644,52773.44410820677,155436.43627834617,109048587.32421839,1117560111.3775558,257137220.54103294,1346.0
2080,790941.3993961078,138778.11364751786,652163.2857485907,0.0,232304.7230244077,7646136.48487757,19047.056183636658,47496.09969738606,109204023.76049657,393799870.7673324,88500280.91818283,1347.0
2081,417573.2162301565,174131.10422313755,243442.11200701882,0.0,215150.98618335347,7646133.48487757,22655.510312554023,17142.35056527296,109251519.86019374,162499046.9719085,107592551.56277075,1137.0
2082,518118.3664938781,208148.3485656142,309970.01792826375,0.0,196022.35723026033,7646114.48487757,26168.789436452375,20389.959281298707,109268662.21075857,347616673.7515545,124583947.18226217,1252.0
2083,446632.1395164967,46745.79465324484,399886.3448632516,0.0,187312.63324492754,7646092.48487757,6718.271813382701,23551.910492807106,109289052.17004015,153099953.3848142,27111359.0669136,1296.0
2084,191088.84288704372,71838.44113709005,119250.4017499538,0.0,182048.6707533746,7646084.48487757,9508.7818637858,6046.444632044446,109312604.0805332,54861224.8806114,40773909.31892874,1354.0
2085,206743.97698617436,17785.819438505965,188958.15754766852,0.0,178494.11481836156,7646050.48487757,3242.8903874059124,8557.903677407188,109318650.52516547,116715461.1155423,10569451.937029598,1129.0
2086,51840.42667218974,11869.057716465753,39971.36895572397,0.0,176589.22670768556,7646037.48487757,2347.23877724605,2918.60134866532,109327208.42884213,32493747.681007404,5636193.886230316,1220.0
2087,41112.163126514235,13918.74488015946,27193.41824635477,0.0,175957.50073556247,7646018.48487757,2563.645549556707,2112.514899521444,109330127.03019099,23277178.639923118,7168227.747783574,1130.0
2088,39600.53076518361,7328.1542159963155,32272.376549187327,0.0,174577.50213678452,7645990.48487757,1555.9889111164616,2307.2809946010366,109332239.54509085,19296796.448721763,1334944.5555823161,1289.0
2089,29076.427879187624,7337.128778366988,21739.299100820637,0.0,174316.7937418976,7645969.48487757,1641.0601062100259,1400.390020004821,109334546.82608528,18170300.856490023,1985300.5310501454,1244.0
