years,Objective,Costs,Damages,J,Y,M,I,Redsnag,Greysnag,B,B_SDD,I_LDD
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,4035000.0,4035000.0,1269.0
2021,133303.86123671292,0.0,133303.86123671292,22960906.0,14435982.0,4212612.0,9707.521599709973,807.0,0.0,44238181.33702925,42387607.99854952,1230.0
2022,1885817.44023921,0.0,1885817.4402392104,22444158.0,14547572.994901652,4608529.085731982,11208.794161739128,9707.521599709973,807.0,50170567.84708724,49883970.808695935,1232.0
2023,2222351.602289034,0.0,2222351.602289034,22040105.0,14570875.82401132,4978508.46246055,34898.797240866574,11208.794161739128,10514.521599709973,168750990.75191116,167843986.20433402,1330.0
2024,7047683.466915808,0.0,7047683.466915807,21428506.0,14781326.725593101,5345266.763637872,75975.1078454666,34898.797240866574,21723.315761449176,376439145.87175125,374070539.2273325,1161.0
2025,15426419.056462739,0.0,15426419.056462739,20839923.0,14917238.465186942,5722415.8908967115,125180.67842204125,75975.1078454666,56622.11300231572,620180497.7673038,619188392.1102101,1343.0
2026,25206442.10658315,0.0,25206442.10658314,20399820.0,14964961.072630066,5990129.705312947,414041.2438033086,125180.67842204125,132597.22084778198,2067278554.3582566,2064146219.0165417,1212.0
2027,82896810.56781086,0.0,82896810.56781086,19902536.0,14720564.349478584,6318920.999784154,789359.5698320866,414041.2438033086,257777.89926982444,3953594369.150399,3939882849.160433,1383.0
2028,154349234.68936098,0.0,154349234.68936098,18019521.0,15403768.629562369,6736226.545210147,2624798.5405548783,789359.5698320866,671819.1430731304,13308944876.151897,13118147702.774403,1169.0
2029,489986967.0844181,0.0,489986967.0844181,17536969.0,13301848.333156908,6914052.401364175,5600738.2286384115,2624798.5405548783,1461178.7129052228,30479350374.993237,27997971143.19209,1144.0
2030,991088024.6624908,0.0,991088024.6624908,16866307.0,9873669.625593849,6964380.128086351,11306167.677759355,5600738.2286384115,4085977.2534600813,71807463862.00598,56524793388.79684,1209.0
2031,1878397210.639979,0.0,1878397210.639979,16310961.0,5754562.57146597,6878916.11273386,12403019.4248786,11306167.677759355,9686715.48209853,114136293300.22145,62008922124.39275,1235.0
2032,1800983087.2201643,0.0,1800983087.2201645,15681330.0,3354089.612313068,6813994.689812665,18358943.78555025,12403019.4248786,20992883.15985778,215049526216.2658,91788178927.75177,1308.0
2033,2380643678.94142,0.0,2380643678.94142,15090554.0,1834204.7197281772,6241247.032343247,5950837.501547438,18358943.78555025,33395902.584736537,93102212048.83159,29748357507.737236,1166.0
2034,640222643.0159496,0.0,640222643.0159497,14442721.0,1672988.976068622,6200570.023126762,2570815.0525093046,5950837.501547438,51754846.3702869,33360271146.169838,12847270262.546436,1361.0
2035,296903755.63685465,0.0,296903755.63685465,13729775.0,1891704.7391179996,6055527.830351987,5281747.928323531,2570815.0525093046,57705683.87183397,61920884723.531784,26402409641.617764,1266.0
2036,424105955.69264954,0.0,424105955.69264954,13084472.0,2149302.374563259,6056776.830351987,6121995.997935192,5281747.928323531,60276498.92434327,80311186711.59528,30603869989.675804,1222.0
2037,388798039.8919179,0.0,388798039.8919178,12548687.0,2386495.5157258348,6064620.459633965,4714039.306988327,6121995.997935192,65558246.85266689,76378903343.35353,23564321534.941494,1175.0
2038,283138168.393178,0.0,283138168.393178,11601256.0,3140371.038885104,5948609.705758789,1513385.5742123777,4714039.306988327,71680242.85060254,13036012990.403309,7560262871.061928,1333.0
2039,121576973.7625896,0.0,121576973.7625896,11089616.0,3523670.354733504,5950320.241665922,3835544.8042211193,1513385.5742123777,76394282.15759075,23430687306.77496,19171819021.1055,1181.0
2040,269215417.6506603,0.0,269215417.6506603,10429502.0,4058494.8110858593,5960545.334351995,6547146.853667972,3835544.8042211193,77907667.73180251,41558368411.74586,32729404268.33984,1266.0
2041,412900807.7865608,0.0,412900807.78656065,9741548.0,4575637.547681416,5961214.719425359,28489586.00933969,6547146.853667972,81743212.53602408,145465795163.60556,142441400046.69916,1306.0
2042,1730847799.4947302,0.0,1730847799.4947305,9149056.0,4879767.999428009,5978750.07105671,6289503.392748219,28489586.00933969,88290359.38969216,603380436425.1284,31440861963.741207,1331.0
2043,395913879.66491663,0.0,395913879.66491663,8570086.0,4967443.190365084,5992704.079982438,16473.874740969244,6289503.392748219,116779945.39903225,369648841.6333412,76084373.70484555,1257.0
2044,2218206.4182709935,0.0,2218206.4182709935,7952775.0,5571873.400812366,5997685.807989441,32762.22393486532,16473.874740969244,123069448.7917798,342462340.0469737,157316119.67432687,1299.0
2045,2664765.1844180883,0.0,2664765.1844180883,7215806.0,6272945.515175444,6005691.92587606,24847.40776311854,32762.22393486532,123085922.66652048,124630052.12243238,117992038.81559265,1249.0
2046,2029864.7979980677,0.0,2029864.7979980677,6599045.0,6860084.191368894,6011510.114140503,40243.97822413059,24847.40776311854,123118684.89045608,204693647.5639183,194739891.12065396,1296.0
2047,3208714.249392046,0.0,3208714.249392046,6078577.0,7340293.964374131,6013390.355954069,137629.5124520521,40243.97822413059,123143532.29821885,694532425.9566376,681877562.2602655,1254.0
2048,11040190.126017818,0.0,11040190.126017818,5477462.0,7810883.189885135,6034013.513384335,115967.41864611101,137629.5124520521,123183776.2764434,590729710.4704024,573832093.230556,1201.0
2049,10141211.510096163,0.0,10141211.510096163,5006433.0,8176705.606556653,6046983.710679524,1275.0,115967.41864611101,123321405.7888949,0.0,0.0,1275.0
2050,128071.54895666521,0.0,128071.5489566652,4470746.0,8689225.740356427,6069942.576879745,2257.228653648404,1275.0,123437373.2075414,8531006.755707998,4466143.268242035,1364.0
2051,216789.40322394975,0.0,216789.40322394975,4076895.0,9051007.39649766,6100874.820810472,1392.0,2257.228653648404,123438648.2075414,0.0,0.0,1392.0
2052,129678.65223150015,0.0,129678.65223150015,3629922.0,9418379.288130218,6180199.929177903,1268.2754509952788,1392.0,123440905.43619528,195473.6238730574,116377.25497638535,1245.0
